year,league,team,player_id,player_name_ja,player_name_en,G,IP,W,L,SV,ERA,BF,H,HR,BB,IBB,HBP,SO,ER,R,HOLD,HP,CG,SHO,WPCT,WP,BK
1973,PL,阪急ブレーブス,71173808,足立　光宏,,27,103.0,4,6,,4.63,443,117,20,23,,6,41,53,60,,,3,0,0.4,0,7
1973,PL,阪急ブレーブス,71173841,新井　良夫,,51,111.2,2,2,,2.89,451,100,9,22,,2,55,36,38,,,1,0,0.5,3,0
1973,PL,阪急ブレーブス,51353843,今井　雄太郎,,6,6.0,1,0,,6.0,30,10,0,2,,0,2,4,5,,,0,0,1.0,0,0
1973,PL,阪急ブレーブス,91793809,梶本　隆夫,,17,19.2,3,0,,6.3,90,25,2,5,,1,12,14,16,,,0,0,1.0,3,0
1973,PL,阪急ブレーブス,81583843,児玉　好弘,,30,51.2,4,4,,3.63,217,58,5,11,,2,18,21,28,,,0,0,0.5,1,0
1973,PL,阪急ブレーブス,31933826,竹村　一義,,9,10.2,0,0,,5.73,45,12,2,1,,1,11,7,7,,,0,0,0.0,0,0
1973,PL,阪急ブレーブス,51053829,戸田　善紀,,39,138.2,8,9,,3.04,572,131,19,45,,1,71,47,55,,,1,0,0.471,2,2
1973,PL,阪急ブレーブス,21023822,牧　憲二郎,,1,1.0,0,0,,9.0,6,2,0,1,,0,0,1,1,,,0,0,0.0,0,0
1973,PL,阪急ブレーブス,91293820,三好　幸雄,,17,40.1,1,3,,4.73,173,39,7,18,,2,14,21,24,,,0,0,0.25,1,0
1973,PL,阪急ブレーブス,71273824,水谷　孝,,30,138.0,12,4,,2.67,568,129,13,34,,4,66,41,44,,,9,2,0.75,2,2
1973,PL,阪急ブレーブス,21023826,宮本　幸信,,17,61.0,4,4,,3.54,270,51,5,38,,3,37,24,28,,,1,1,0.5,1,0
1973,PL,阪急ブレーブス,51253828,山田　久志,,36,207.1,15,10,,3.57,845,194,32,47,,3,99,82,89,,,12,1,0.6,1,1
1973,PL,阪急ブレーブス,83183802,米田　哲也,,32,175.1,15,3,,2.47,727,149,14,52,,9,103,48,62,,,11,3,0.833,5,4
1973,PL,南海ホークス,41143843,池内　豊,,3,5.0,0,0,,3.6,22,5,1,3,,0,1,2,2,,,0,0,0.0,0,0
1973,PL,南海ホークス,01303843,江本　孟紀,,34,217.1,12,14,,2.74,889,167,17,85,,11,95,66,75,,,12,5,0.462,5,10
1973,PL,南海ホークス,01303845,門田　純良,,6,15.1,2,0,,4.2,68,11,2,12,,0,7,7,7,,,0,0,1.0,0,0
1973,PL,南海ホークス,21723841,佐藤　道郎,,60,130.1,11,12,,3.18,536,117,14,38,,3,76,46,54,,,1,0,0.478,1,5
1973,PL,南海ホークス,81983841,中山　孝一,,16,68.1,1,3,,3.57,282,58,10,29,,2,48,27,28,,,0,0,0.25,3,3
1973,PL,南海ホークス,41043829,西川　克弘,,22,39.0,1,1,,4.38,178,40,6,22,,1,20,19,20,,,0,0,0.5,1,0
1973,PL,南海ホークス,81983826,西岡　三四郎,,30,200.1,12,8,,2.93,837,203,15,54,,7,55,65,79,,,10,1,0.6,0,3
1973,PL,南海ホークス,51053845,野崎　恒男,,17,36.2,0,1,,7.05,179,53,5,23,,0,11,29,32,,,0,0,0.0,1,3
1973,PL,南海ホークス,51253841,松原　明夫,,27,140.2,7,7,,2.87,592,130,10,66,,7,56,45,56,,,6,1,0.5,1,4
1973,PL,南海ホークス,41043827,村上　雅則,,23,65.2,2,4,,5.18,295,75,8,25,,7,27,38,42,,,0,0,0.333,1,0
1973,PL,南海ホークス,31233828,山内　新一,,36,243.0,20,8,,3.3,1015,219,26,78,,9,85,89,98,,,14,4,0.714,2,1
1973,PL,大阪近鉄バファローズ,01103826,五十嵐　英夫,,11,25.1,1,1,,4.32,105,21,1,8,,1,10,12,12,,,0,0,0.5,1,0
1973,PL,大阪近鉄バファローズ,91193847,井本　隆,,19,23.1,0,0,,7.43,120,33,4,21,,0,15,19,21,,,0,0,0.0,1,2
1973,PL,大阪近鉄バファローズ,11513824,大場　隆広,,12,8.2,0,0,,10.0,47,15,0,9,,0,2,10,13,,,0,0,0.0,2,0
1973,PL,大阪近鉄バファローズ,21323828,岡田　光雄,,7,10.0,0,0,,4.5,47,14,3,3,,0,1,5,8,,,0,0,0.0,0,0
1973,PL,大阪近鉄バファローズ,61363841,太田　幸司,,40,192.0,6,14,,3.23,803,161,21,74,,9,113,69,86,,,4,1,0.3,3,1
1973,PL,大阪近鉄バファローズ,01503824,加藤　英夫,,21,35.0,0,0,,2.57,150,36,2,11,,3,23,10,12,,,0,0,0.0,0,1
1973,PL,大阪近鉄バファローズ,61563841,神部　年男,,26,106.2,7,7,,2.94,430,87,5,47,,2,48,35,40,,,3,0,0.5,2,0
1973,PL,大阪近鉄バファローズ,31933825,佐々木　宏一郎,,27,79.1,2,9,,5.58,357,96,16,20,,5,37,49,61,,,2,1,0.182,0,1
1973,PL,大阪近鉄バファローズ,31733822,鈴木　啓示,,30,171.2,11,13,,3.4,712,127,26,91,,6,119,65,74,,,14,4,0.458,3,1
1973,PL,大阪近鉄バファローズ,51953829,清　俊彦,,45,174.0,5,17,,4.71,756,188,23,59,,6,89,91,107,,,6,1,0.227,1,1
1973,PL,大阪近鉄バファローズ,51953845,橘　健治,,9,26.2,0,3,,2.0,113,24,2,12,,2,12,6,12,,,0,0,0.0,1,0
