year,league,team,player_id,player_name_ja,player_name_en,G,IP,W,L,SV,ERA,BF,H,HR,BB,IBB,HBP,SO,ER,R,HOLD,HP,CG,SHO,WPCT,WP,BK
2002,CL,読売ジャイアンツ,63365113,Ｈ．アルモンテ,,27,24.0,0,0,1,1.5,96,18,2,7,,2,18,4,4,,,0,0,0.0,1,0
2002,CL,読売ジャイアンツ,81183884,入来　祐作,,21,133.0,5,4,0,3.05,538,120,13,26,,5,115,45,51,,,1,1,0.556,1,0
2002,CL,読売ジャイアンツ,31335115,石川　雅実,,2,2.0,0,0,0,9.0,10,3,0,1,,0,3,2,2,,,0,0,0.0,0,0
2002,CL,読売ジャイアンツ,11313888,上原　浩治,,26,204.0,17,5,0,2.6,808,173,18,23,,6,182,59,65,,,8,3,0.773,2,0
2002,CL,読売ジャイアンツ,41145111,内薗　直樹,,17,24.1,0,0,0,3.33,99,21,3,8,,1,19,9,9,,,0,0,0.0,2,0
2002,CL,読売ジャイアンツ,51353889,岡島　秀樹,,52,55.2,6,3,0,3.4,231,42,8,22,,3,58,21,21,,,0,0,0.667,4,0
2002,CL,読売ジャイアンツ,71573881,柏田　貴史,,3,3.2,1,0,0,0.0,13,2,0,1,,0,1,0,0,,,0,0,1.0,0,0
2002,CL,読売ジャイアンツ,81383885,河本　育之,,25,23.0,3,1,0,4.7,105,22,0,14,,0,21,12,13,,,0,0,0.75,1,0
2002,CL,読売ジャイアンツ,21323880,河原　純一,,49,50.0,5,3,28,2.7,196,44,8,6,,0,61,15,16,,,0,0,0.625,1,0
2002,CL,読売ジャイアンツ,41545115,鴨志田　貴司,,3,3.0,0,0,1,0.0,11,2,0,0,,0,3,0,0,,,0,0,0.0,0,0
2002,CL,読売ジャイアンツ,61363887,木村　龍治,,3,2.0,0,0,0,9.0,12,5,0,1,,0,1,2,2,,,0,0,0.0,0,0
2002,CL,読売ジャイアンツ,51553865,工藤　公康,,24,170.1,9,8,0,2.91,681,157,21,26,,2,151,55,61,,,1,1,0.529,5,0
2002,CL,読売ジャイアンツ,11513862,桑田　真澄,,23,158.1,12,6,0,2.22,640,138,13,38,,3,108,39,51,,,3,1,0.667,3,0
2002,CL,読売ジャイアンツ,81583888,酒井　順也,,13,23.1,1,2,0,4.24,103,21,3,14,,1,17,11,12,,,0,0,0.333,2,0
2002,CL,読売ジャイアンツ,01505111,佐藤　宏志,,1,1.0,0,0,0,0.0,5,1,0,1,,0,1,0,0,,,0,0,0.0,0,0
