year,league,team,player_id,player_name_ja,player_name_en,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HBP,SO,GDP,AVG,OBP,SLG,OPS,1B,IsoP,IsoD,IOPS,BB%,K%,BB/K,BABIP,GPA,NOI,SecA,TA
2012,PL,埼玉西武ライオンズ,1005112,田中　靖洋,Y.Tanaka,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,
2012,PL,埼玉西武ライオンズ,1005113,中島　宏之,H.Nakajima,136.0,567.0,499.0,69.0,155.0,29.0,1.0,13.0,225.0,74.0,6.0,0,1.0,6.0,52.0,0,9.0,76.0,10.0,0.311,0.382,0.451,0.833,112.0,0.14,0.071,0.522,0.091710758377425,0.1340388007054673,0.6842105263157895,0.3413461538461538,0.28465,532.3333333333334,0.2745490981963928,0.8248587570621468
2012,PL,福岡ソフトバンクホークス,1005133,千賀　滉大,K.Senga,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,
2012,PL,福岡ソフトバンクホークス,1005135,武田　翔太,S.Takeda,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,
2012,PL,オリックス・バファローズ,11015112,高宮　和也,K.Takamiya,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,
2012,PL,オリックス・バファローズ,11015115,辻　俊哉,T.Tsuji,5.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,1,0.0,0.0,0.0,0,0.0,1.0,0.0,0.167,0.167,0.167,0.334,1.0,0.0,0.0,0.167,0.0,0.1666666666666666,0.0,0.2,0.1169,222.66666666666669,0.1666666666666666,0.4
2012,PL,千葉ロッテマリーンズ,11015119,成瀬　善久,Y.Naruse,28.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
2012,PL,東北楽天ゴールデンイーグルス,11015133,塩見　貴洋,T.Shiomi,19.0,6.0,6.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.333,0.333,0.5,0.833,1.0,0.1669999999999999,0.0,0.5,0.0,0.0,,0.3333333333333333,0.27485,499.6666666666667,0.1666666666666666,0.75
2012,PL,オリックス・バファローズ,1103886,井川　慶,K.Igawa,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,
2012,PL,東北楽天ゴールデンイーグルス,1105119,稲田　直人,N.Inada,2.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.25,0.25,0.25,0.5,1.0,0.0,0.0,0.25,0.0,0.0,,0.25,0.175,333.3333333333333,0.0,0.25
2012,PL,千葉ロッテマリーンズ,11215110,橋本　健太郎,K.Hashimoto,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,
2012,PL,東北楽天ゴールデンイーグルス,11215114,田中　将大,M.Tanaka,22.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0
2012,PL,オリックス・バファローズ,11215115,野中　信吾,S.Nonaka,74.0,149.0,120.0,22.0,26.0,3.0,2.0,0.0,33.0,7.0,12,6,16.0,0.0,11.0,0,2.0,20.0,2.0,0.217,0.293,0.275,0.568,21.0,0.058,0.0759999999999999,0.351,0.0738255033557047,0.1342281879194631,0.55,0.26,0.2006,384.6666666666666,0.2166666666666666,0.5416666666666666
2012,PL,福岡ソフトバンクホークス,11215116,中村　晃,A.Nakamura,39.0,63.0,57.0,6.0,13.0,2.0,0.0,0.0,15.0,3.0,2.0,2,2.0,1.0,3.0,0,0.0,5.0,0.0,0.228,0.262,0.263,0.525,11.0,0.035,0.034,0.297,0.0476190476190476,0.0793650793650793,0.6,0.2452830188679245,0.18365,349.6666666666667,0.1228070175438596,0.4545454545454545
2012,PL,北海道日本ハムファイターズ,11215118,中島　卓也,T.Nakashima,105.0,82.0,70.0,9.0,8.0,0.0,0.0,0.0,8.0,0.0,2,0,11.0,0.0,1.0,0,0.0,17.0,0.0,0.114,0.127,0.114,0.241,8.0,0.0,0.0129999999999999,0.127,0.0121951219512195,0.2073170731707317,0.0588235294117647,0.1509433962264151,0.08565,165.0,0.0142857142857142,0.1451612903225806
2012,PL,東北楽天ゴールデンイーグルス,11313884,岩村　明憲,A.Iwamura,26.0,79.0,67.0,9.0,14.0,6.0,0.0,1.0,23.0,5.0,0.0,0,0.0,1.0,11.0,0,0.0,10.0,0.0,0.209,0.316,0.343,0.659,7.0,0.134,0.107,0.45,0.1392405063291139,0.1265822784810126,1.1,0.2280701754385964,0.2279499999999999,430.33333333333337,0.2985074626865671,0.6415094339622641
2012,PL,福岡ソフトバンクホークス,11315110,江川　智晃,T.Egawa,56.0,175.0,160.0,12.0,39.0,3.0,4.0,4.0,62.0,18.0,1,0,4.0,3.0,8.0,0,0.0,37.0,3.0,0.244,0.275,0.388,0.663,28.0,0.144,0.031,0.419,0.0457142857142857,0.2114285714285714,0.2162162162162162,0.2868852459016393,0.22075,404.3333333333333,0.19375,0.5645161290322581
2012,PL,千葉ロッテマリーンズ,11315116,伊藤　義弘,Y.Itou,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,
2012,PL,埼玉西武ライオンズ,11415110,MICHEAL,M.Maikeru（nakamura,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,
2012,PL,オリックス・バファローズ,11415133,深江　真登,M.Fukae,8.0,29.0,24.0,3.0,9.0,0.0,2.0,0.0,13.0,2.0,3,1,2.0,0.0,2.0,0,1.0,5.0,0.0,0.375,0.444,0.542,0.986,7.0,0.167,0.069,0.611,0.0689655172413793,0.1724137931034483,0.4,0.4736842105263157,0.3353,624.6666666666667,0.3333333333333333,1.1333333333333333
2012,PL,埼玉西武ライオンズ,11415135,永江　恭平,K.Nagae,27.0,34.0,27.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,7.0,0.0,0.0,0,0.0,11.0,0.0,0.037,0.037,0.037,0.074,1.0,0.0,0.0,0.037,0.0,0.3235294117647059,0.0,0.0625,0.0259,49.333333333333336,0.0,0.0384615384615384
2012,PL,東北楽天ゴールデンイーグルス,11515112,小山　桂司,K.Oyama,22.0,65.0,58.0,4.0,13.0,1.0,0.0,0.0,14.0,6.0,0,1,2.0,2.0,3.0,0,0.0,15.0,1.0,0.224,0.254,0.241,0.495,12.0,0.0169999999999999,0.03,0.271,0.0461538461538461,0.2307692307692307,0.2,0.2888888888888888,0.1745499999999999,334.3333333333333,0.0862068965517241,0.391304347826087
