year,league,team,player_id,player_name_ja,player_name_en,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HBP,SO,GDP,AVG,OBP,SLG,OPS
2025,CL,広島東洋カープ,,小園　海斗,K.Kozono,138,573,521,51,161,24,4,3,202,47,12,7,3,2,42,,5,47,9,0.388,0.365,,
2025,CL,読売ジャイアンツ,,泉口　友汰,Y.Izuguchi,133,573,512,67,154,23,3,6,201,39,4,5,7,3,47,,4,60,8,0.393,0.362,,
2025,CL,中日ドラゴンズ,,岡林　勇希,Y.Okabayashi,143,637,578,71,168,22,8,5,221,35,17,5,4,3,51,,1,57,1,0.382,0.348,,
2025,CL,横浜DeNAベイスターズ,,桑原　将志,M.Kuwahara,106,447,398,48,113,17,2,6,152,27,10,0,10,0,30,,9,59,5,0.382,0.348,,
2025,CL,阪神タイガース,,中野　拓夢,T.Nakano,143,625,531,65,150,18,3,0,174,30,19,7,44,3,44,,3,77,5,0.328,0.339,,
2025,CL,阪神タイガース,,近本　光司,K.Chikamoto,140,638,573,76,160,25,4,3,202,34,32,9,0,3,60,,2,88,3,0.353,0.348,,
2025,CL,阪神タイガース,,佐藤　輝明,T.Satou,139,597,537,83,149,34,4,40,311,102,10,2,0,3,57,,0,163,5,0.579,0.345,,
2025,CL,読売ジャイアンツ,,吉川　尚輝,N.Yoshikawa,107,455,404,33,112,15,3,3,142,32,8,3,2,3,41,,5,63,7,0.351,0.349,,
2025,CL,広島東洋カープ,,ファビアン,Sandro Fabian,138,572,539,60,149,30,0,17,230,65,2,3,0,2,22,,9,84,8,0.427,0.315,,
2025,CL,阪神タイガース,,森下　翔太,S.Morishita,143,620,549,82,151,24,5,23,254,89,5,2,0,5,54,,12,86,15,0.463,0.35,,
2025,CL,横浜DeNAベイスターズ,,佐野　恵太,K.Sano,138,569,525,47,144,24,0,15,213,70,0,0,0,5,34,,5,61,13,0.406,0.322,,
2025,CL,中日ドラゴンズ,,上林　誠知,S.Uebayashi,134,517,486,52,131,21,4,17,211,52,27,5,6,1,20,,4,102,3,0.434,0.303,,
2025,CL,読売ジャイアンツ,,キャベッジ,Tyler Cabbage,123,476,431,50,115,26,1,17,194,51,5,3,1,2,37,,5,144,4,0.45,0.331,,
2025,CL,阪神タイガース,,大山　悠輔,Y.Ooyama,141,587,503,52,133,25,1,13,199,75,6,3,0,4,74,,6,96,16,0.396,0.363,,
2025,CL,東京ヤクルトスワローズ,,内山　壮真,S.Uchiyama,116,470,423,50,111,26,1,8,163,48,8,3,1,4,41,,1,66,10,0.385,0.326,,
2025,CL,中日ドラゴンズ,,ボスラー,Bosler,122,493,452,37,118,33,2,13,194,58,0,1,0,5,30,,6,101,5,0.429,0.312,,
2025,CL,東京ヤクルトスワローズ,,オスナ,Osuna,141,574,528,38,135,22,0,14,199,67,4,1,0,5,40,,1,76,13,0.377,0.307,,
2025,CL,広島東洋カープ,,末包　昇大,S.Suekane,123,477,437,40,106,18,3,11,163,62,2,3,0,5,33,,2,97,6,0.373,0.296,,
