year,league,team,player_id,player_name_ja,player_name_en,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HBP,SO,GDP,AVG,OBP,SLG,OPS
2025,PL,福岡ソフトバンクホークス,,牧原　大成,T.Makihara,125,443,418,44,127,17,6,5,171,49,12,4,11,4,7,,3,63,4,0.409,0.317,,
2025,PL,福岡ソフトバンクホークス,,柳町　達,T.Yanagimachi,131,517,442,54,129,17,1,6,166,50,2,2,4,3,62,,6,109,8,0.376,0.384,,
2025,PL,オリックス・バファローズ,,中川　圭太,K.Nakagawa,119,463,433,54,123,26,1,12,187,53,10,2,5,4,20,,1,49,9,0.432,0.314,,
2025,PL,オリックス・バファローズ,,太田　椋,R.Oota,113,496,448,42,127,10,0,10,167,52,0,2,6,4,33,,5,102,12,0.373,0.337,,
2025,PL,東北楽天ゴールデンイーグルス,,村林　一輝,I.Murabayashi,137,557,513,41,144,14,0,3,167,51,6,2,10,3,28,,3,102,14,0.326,0.32,,
2025,PL,千葉ロッテマリーンズ,,西川　史礁,Nishikawa Shisho,108,444,417,42,117,27,3,3,159,37,1,0,0,3,16,,8,85,6,0.381,0.318,,
2025,PL,北海道日本ハムファイターズ,,レイエス,Jose Reyes,132,531,476,62,132,17,0,32,245,90,0,0,0,3,52,,0,129,8,0.515,0.347,,
2025,PL,埼玉西武ライオンズ,,ネビン,Tyler Nevin,137,570,509,51,141,24,0,21,228,63,2,1,0,5,45,,11,78,13,0.448,0.346,,
2025,PL,北海道日本ハムファイターズ,,清宮　幸太郎,K.Kiyomiya,138,577,525,63,143,25,1,12,206,65,8,1,0,5,46,,1,85,9,0.392,0.329,,
2025,PL,千葉ロッテマリーンズ,,藤原　恭大,K.Fujiwara,107,452,409,38,111,12,6,4,147,24,15,6,4,0,33,,6,80,3,0.359,0.335,,
2025,PL,東北楽天ゴールデンイーグルス,,中島　大輔,D.Nakashima,124,491,462,51,123,11,5,6,162,31,22,4,8,2,17,,2,75,4,0.351,0.294,,
2025,PL,埼玉西武ライオンズ,,西川　愛也,M.Nishikawa,124,553,507,64,134,26,3,10,196,38,25,7,2,3,32,,9,80,4,0.387,0.318,,
2025,PL,東北楽天ゴールデンイーグルス,,宗山　塁,Muneayama Rui,122,460,430,32,112,19,3,3,146,27,7,0,0,9,20,,1,82,10,0.34,0.289,,
2025,PL,オリックス・バファローズ,,紅林　弘太郎,K.Kurebayashi,116,447,400,36,104,20,1,9,153,43,1,2,4,5,35,,3,57,15,0.383,0.321,,
2025,PL,オリックス・バファローズ,,杉本　裕太郎,Y.Sugimoto,119,455,401,48,104,15,2,16,171,53,1,0,0,7,38,,9,123,8,0.426,0.332,,
2025,PL,埼玉西武ライオンズ,,渡部　聖弥,Watanabe Seiya,109,452,425,42,110,16,3,12,168,43,2,3,0,2,21,,4,85,11,0.395,0.299,,
2025,PL,千葉ロッテマリーンズ,,寺地　隆成,R.Terachi,116,445,414,33,106,16,0,5,137,33,0,0,3,2,19,,7,67,8,0.331,0.299,,
2025,PL,オリックス・バファローズ,,廣岡　大志,T.Hirooka,118,453,402,43,102,15,1,7,140,34,9,7,8,4,39,,0,90,9,0.348,0.317,,
2025,PL,オリックス・バファローズ,,頓宮　裕真,Y.Tonguu,129,525,473,41,118,20,0,13,177,54,1,0,0,4,43,,5,81,10,0.374,0.316,,
2025,PL,北海道日本ハムファイターズ,,万波　中正,C.Mannami,127,465,420,48,96,23,1,20,181,56,3,3,1,0,43,,1,125,10,0.431,0.302,,
2025,PL,福岡ソフトバンクホークス,,山川　穂高,H.Yamakawa,130,496,443,45,100,9,0,23,178,62,0,0,0,4,45,,4,126,7,0.402,0.3,,
2025,PL,埼玉西武ライオンズ,,長谷川　信哉,S.Hasegawa,132,450,400,42,90,16,3,6,130,36,9,4,9,5,33,,3,56,11,0.325,0.286,,
