year,league,team,player_id,player_name_ja,player_name_en,G,IP,W,L,SV,ERA,BF,H,HR,BB,IBB,HBP,SO,ER,R,HOLD,HP,CG,SHO,WPCT,WP,BK
1952,CL,読売ジャイアンツ,41143805,入谷　正典,,10,23.1,0,0,,1.88,89,17,1,1,,2,11,5,5,,,0,0,0.0,0,0
1952,CL,読売ジャイアンツ,41743801,大友　工,,40,207.1,17,8,,2.25,827,158,10,51,,4,120,52,78,,,9,4,0.68,2,1
1952,CL,読売ジャイアンツ,01703878,中尾　碩志,,14,42.1,1,2,,3.98,193,42,1,27,,2,23,19,26,,,1,0,0.333,0,1
1952,CL,読売ジャイアンツ,91293805,西田　亨,,21,75.1,3,1,,3.2,312,69,6,25,,3,30,27,42,,,2,0,0.75,1,0
1952,CL,読売ジャイアンツ,81783895,藤本　英雄,,34,213.2,16,6,,2.36,830,169,11,38,,2,89,56,68,,,14,5,0.727,0,0
1952,CL,読売ジャイアンツ,31933895,別所　毅彦,,52,371.1,33,13,,1.94,1473,299,13,93,,6,153,80,107,,,28,7,0.717,5,1
1952,CL,読売ジャイアンツ,03203801,松田　清,,37,138.1,13,7,,3.17,578,130,4,47,,0,71,49,58,,,2,0,0.65,1,1
1952,CL,読売ジャイアンツ,51653805,三浦　方義,,2,4.2,0,0,,9.0,23,7,1,3,,0,1,5,5,,,0,0,0.0,0,0
1952,CL,阪神タイガース,61163805,岩村　吉博,,6,14.0,1,1,,5.14,58,18,2,3,,0,2,8,9,,,0,0,0.5,0,1
1952,CL,阪神タイガース,91193896,内山　清,,20,33.1,1,1,,3.71,144,41,4,8,,0,1,14,16,,,0,0,0.5,0,0
1952,CL,阪神タイガース,31333894,梶岡　忠義,,38,257.2,21,8,,1.71,1014,191,9,68,,4,75,49,61,,,20,3,0.724,0,0
1952,CL,阪神タイガース,01303898,駒田　桂二,,43,156.0,8,8,,4.04,654,165,15,41,,1,48,70,78,,,1,0,0.5,0,0
1952,CL,阪神タイガース,51353897,真田　重男,,38,228.0,16,9,,1.97,919,198,13,50,,4,80,50,71,,,14,4,0.64,0,0
1952,CL,阪神タイガース,61363898,田宮　謙次郎,,5,13.0,0,2,,4.85,60,16,1,6,,1,2,7,8,,,1,0,0.0,0,0
1952,CL,阪神タイガース,71173803,西村　修,,10,11.2,0,2,,5.25,55,13,1,8,,1,2,7,9,,,0,0,0.0,0,0
1952,CL,阪神タイガース,81783891,藤村　隆男,,46,260.0,25,6,,2.63,1045,221,13,72,,8,106,76,88,,,16,4,0.806,4,2
1952,CL,阪神タイガース,21123803,深見　吉夫,,1,2.1,0,0,,9.0,14,6,0,1,,0,0,3,3,,,0,0,0.0,0,0
1952,CL,阪神タイガース,83083801,干場　一夫,,17,29.1,0,0,,3.0,130,41,3,6,,1,2,10,13,,,0,0,0.0,0,0
1952,CL,阪神タイガース,71673805,三船　正俊,,27,84.2,7,3,,4.34,372,82,12,39,,2,21,41,44,,,2,2,0.7,2,0
1952,CL,松竹ロビンス,01103878,井筒　研一,,10,54.1,1,4,,3.11,229,64,1,10,,0,8,19,25,,,1,0,0.2,0,0
1952,CL,松竹ロビンス,91393801,石川　清逸,,7,17.1,0,2,,6.5,81,23,1,8,,3,7,13,14,,,0,0,0.0,0,1
1952,CL,松竹ロビンス,11913801,荻原　隆,,15,67.0,1,6,,5.91,308,91,7,20,,2,16,44,52,,,0,0,0.143,1,0
1952,CL,松竹ロビンス,11313896,片山　博,,42,213.2,7,15,,3.45,876,208,21,47,,8,74,82,102,,,8,1,0.318,5,1
1952,CL,松竹ロビンス,61363896,小林　恒夫,,50,321.2,12,27,,3.69,1379,325,21,121,,6,159,132,156,,,26,6,0.308,0,4
1952,CL,松竹ロビンス,21323898,島本　和夫,,41,234.1,9,15,,3.68,1027,235,13,118,,7,71,96,110,,,15,0,0.375,1,1
1952,CL,松竹ロビンス,81983805,椙本　勝,,26,102.0,4,12,,5.74,480,128,8,53,,2,26,65,78,,,3,0,0.25,1,6
1952,CL,松竹ロビンス,11013805,鈴木　康司,,17,52.0,0,2,,4.85,234,56,2,34,,1,18,28,32,,,0,0,0.0,1,1
1952,CL,松竹ロビンス,23923801,林　茂,,4,5.2,0,1,,3.0,32,9,0,5,,0,2,2,4,,,0,0,0.0,0,0
1952,CL,大洋ホエールズ,51153805,有村　家斉,,27,147.2,9,9,,3.34,637,141,11,75,,2,39,55,67,,,6,2,0.5,2,0
1952,CL,大洋ホエールズ,01103892,今西　啓介,,16,52.0,2,1,,5.02,237,54,6,29,,4,15,29,34,,,1,0,0.667,0,0
1952,CL,大洋ホエールズ,71173893,江田　貢一,,31,186.2,10,11,,4.14,797,217,10,44,,1,31,86,105,,,9,2,0.476,0,0
1952,CL,大洋ホエールズ,31333805,小倉　薫,,9,19.1,0,0,,4.5,88,19,0,13,,0,5,10,11,,,0,0,0.0,0,1
1952,CL,大洋ホエールズ,21523805,神田　昌男,,11,36.2,2,0,,4.14,154,31,4,17,,1,10,17,17,,,1,0,1.0,3,0
1952,CL,大洋ホエールズ,11713805,北川　久治,,10,19.2,0,0,,4.5,83,25,1,5,,0,4,10,11,,,0,0,0.0,1,1
1952,CL,大洋ホエールズ,31533891,清水　秀雄,,28,150.0,7,10,,4.86,659,166,12,61,,2,40,81,89,,,8,1,0.412,4,2
1952,CL,大洋ホエールズ,01703892,高野　裕良,,47,296.0,17,21,,3.22,1267,299,23,84,,9,99,106,140,,,23,4,0.447,1,1
