year,league,team,player_id,player_name_ja,player_name_en,G,IP,W,L,SV,ERA,BF,H,HR,BB,IBB,HBP,SO,ER,R,HOLD,HP,CG,SHO,WPCT,WP,BK
1985,PL,阪急ブレーブス,51353843,今井　雄太郎,,35,220.0,12,13,3,4.99,959,247,34,65,,12,96,122,129,,,14,1,0.48,1,0
1985,PL,阪急ブレーブス,81183867,榎田　健一郎,,3,4.2,0,0,0,17.36,29,9,3,6,,0,2,9,9,,,0,0,0.0,0,0
1985,PL,阪急ブレーブス,51353860,太田　敏之,,10,20.1,0,2,0,8.41,93,27,6,7,,0,9,19,19,,,0,0,0.0,0,0
1985,PL,阪急ブレーブス,21323861,金本　誠吉,,21,36.2,0,1,0,4.17,157,44,6,8,,2,24,17,19,,,0,0,0.0,0,0
1985,PL,阪急ブレーブス,11513861,木下　智彦,,2,1.0,0,0,0,18.0,8,3,0,2,,0,0,2,2,,,0,0,0.0,0,0
1985,PL,阪急ブレーブス,81583863,小嶋　正宣,,15,27.1,1,2,0,6.91,135,35,3,18,,3,14,21,22,,,0,0,0.333,0,0
1985,PL,阪急ブレーブス,91393844,佐藤　義則,,35,260.1,21,11,0,4.29,1146,279,29,105,,7,188,124,136,,,23,2,0.656,7,0
1985,PL,阪急ブレーブス,41943843,谷村　智啓,,12,26.2,1,2,0,3.04,119,22,3,18,,0,6,9,10,,,1,0,0.333,2,0
1985,PL,阪急ブレーブス,41743869,谷　良治,,25,48.2,0,1,5,6.84,212,64,11,10,,3,30,37,38,,,0,0,0.0,0,0
1985,PL,阪急ブレーブス,71073860,野中　徹博,,7,17.0,0,0,0,4.76,77,17,3,10,,2,10,9,10,,,0,0,0.0,0,0
1985,PL,阪急ブレーブス,61263860,古溝　克之,,9,17.1,0,0,0,10.38,84,21,4,14,,0,10,20,20,,,0,0,0.0,0,0
1985,PL,阪急ブレーブス,31433860,星野　伸之,,17,46.1,2,2,1,4.47,220,43,5,39,,1,43,23,26,,,0,0,0.5,1,0
1985,PL,阪急ブレーブス,81583840,宮本　四郎,,16,46.0,2,3,1,6.07,211,51,5,21,,0,20,31,36,,,0,0,0.4,1,0
1985,PL,阪急ブレーブス,01003865,森　浩二,,12,12.1,0,0,0,6.57,59,15,2,6,,1,3,9,9,,,0,0,0.0,0,0
1985,PL,阪急ブレーブス,51253828,山田　久志,,30,222.1,18,10,0,4.33,926,216,42,54,,10,104,107,118,,,16,1,0.643,0,0
1985,PL,阪急ブレーブス,61063865,山沖　之彦,,38,139.2,7,14,6,4.83,612,143,27,57,,1,61,75,95,,,5,0,0.333,3,0
1985,PL,南海ホークス,71173869,青井　要,,7,8.0,0,0,0,7.88,36,8,2,8,,1,4,7,7,,,0,0,0.0,0,1
1985,PL,南海ホークス,01103863,井上　祐二,,33,105.0,2,13,0,5.4,460,108,13,42,,2,51,63,78,,,2,0,0.133,2,0
1985,PL,南海ホークス,71373867,大久保　学,,12,18.1,0,0,1,8.35,94,27,5,12,,2,5,17,18,,,0,0,0.0,1,0
1985,PL,南海ホークス,91393867,大坪　幸夫,,12,24.2,0,0,0,5.11,105,33,5,6,,0,9,14,14,,,0,0,0.0,0,0
1985,PL,南海ホークス,51353869,大津　一洋,,14,23.2,0,0,0,4.56,110,28,4,12,,0,12,12,18,,,0,0,0.0,0,0
1985,PL,南海ホークス,71373869,加藤　伸一,,34,189.1,9,11,1,4.09,818,180,32,87,,9,79,86,100,,,9,1,0.45,2,1
1985,PL,南海ホークス,31933861,竹口　昭範,,25,37.0,0,1,0,6.57,167,41,8,20,,2,11,27,32,,,0,0,0.0,0,0
1985,PL,南海ホークス,11013867,中条　善伸,,23,17.1,0,1,0,5.71,81,21,4,9,,1,7,11,17,,,0,0,0.0,1,0
1985,PL,南海ホークス,11213867,畠山　準,,13,38.2,1,3,0,4.89,175,45,11,14,,0,22,21,24,,,0,0,0.25,2,0
1985,PL,南海ホークス,11913842,藤田　学,,18,43.0,1,4,0,6.28,200,57,4,16,,2,8,30,34,,,1,0,0.2,0,0
