year,league,team,player_id,player_name_ja,player_name_en,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HBP,SO,GDP,AVG,OBP,SLG,OPS,打率,安打,本塁打,打点,試合,打席,打数,単打,二塁打,三塁打,得点,出塁率,長打率,四球,敬遠,死球,三振,塁打,盗塁,盗塁死,犠打,犠飛,併殺打,IsoP,IsoD,BB%,K%,BB/K,RC,XR,BABIP,SecA,TA,NOI,GPA
2025,PL,福岡ソフトバンクホークス,,牧原　大成,T.Makihara,125,443,418,44,127,17,6,5,171,49,4,,11,4,7,,3,63,4,0.409,0.317,0.409,0.317,0.409,127,5,49,125,443,418,,17,6,44,0.317,0.409,7,,3,,171,4,,11,4,,0.000091,-0.092,1.580135440180587,14.221218961625281,0.1111111111111111,53.91529411764706,,0.3446327683615819,0.13157894736842105,0.6271186440677966,317.0,0.14265
2025,PL,福岡ソフトバンクホークス,,柳町　達,T.Yanagimachi,131,517,442,54,129,17,1,6,166,50,2,,4,3,62,,6,109,8,0.376,0.384,0.376,0.384,0.376,129,6,50,131,517,442,,17,1,54,0.384,0.376,62,,6,,166,2,,4,3,,-0.000434,0.008,11.992263056092844,21.08317214700193,0.5688073394495413,62.90873015873016,,0.37272727272727274,0.22850678733031674,0.735202492211838,384.0,0.1728
2025,PL,オリックス・バファローズ,,中川　圭太,K.Nakagawa,119,463,433,54,123,26,1,12,187,53,2,,5,4,20,,1,49,9,0.432,0.314,0.432,0.314,0.432,123,12,53,119,463,433,,26,1,54,0.314,0.432,20,,1,,187,2,,5,4,,-0.000129,-0.118,4.319654427645788,10.583153347732182,0.40816326530612246,59.030905077262695,,0.29521276595744683,0.19861431870669746,0.658307210031348,314.0,0.1413
2025,PL,オリックス・バファローズ,,太田　椋,R.Oota,113,496,448,42,127,10,0,10,167,52,2,,6,4,33,,5,102,12,0.373,0.337,0.373,0.337,0.373,127,10,52,113,496,448,,10,0,42,0.337,0.373,33,,5,,167,2,,6,4,,-0.000232,-0.036,6.653225806451612,20.56451612903226,0.3235294117647059,55.55093555093555,,0.34411764705882353,0.16741071428571427,0.6216216216216216,337.0,0.15165
2025,PL,東北楽天ゴールデンイーグルス,,村林　一輝,I.Murabayashi,137,557,513,41,144,14,0,3,167,51,2,,10,3,28,,3,102,14,0.326,0.32,0.326,0.32,0.326,144,3,51,137,557,513,,14,0,41,0.32,0.326,28,,3,,167,2,,10,3,,-0.000464,-0.006,5.026929982046679,18.31238779174147,0.27450980392156865,53.094269870609985,,0.34306569343065696,0.10331384015594541,0.5221932114882507,320.0,0.14400000000000002
2025,PL,千葉ロッテマリーンズ,,西川　史礁,Nishikawa Shisho,108,444,417,42,117,27,3,3,159,37,0,,0,3,16,,8,85,6,0.381,0.318,0.381,0.318,0.381,117,3,37,108,444,417,,27,3,42,0.318,0.381,16,,8,,159,0,,0,3,,0.000295,-0.063,3.6036036036036037,19.144144144144143,0.18823529411764706,48.838337182448036,,0.3433734939759036,0.13908872901678657,0.5980392156862745,318.0,0.1431
2025,PL,北海道日本ハムファイターズ,,レイエス,Jose Reyes,132,531,476,62,132,17,0,32,245,90,0,,0,3,52,,0,129,8,0.515,0.347,0.515,0.347,0.515,132,32,90,132,531,476,,17,0,62,0.347,0.515,52,,0,,245,0,,0,3,,-0.000294,-0.168,9.792843691148775,24.293785310734464,0.40310077519379844,85.37878787878788,,0.31446540880503143,0.34663865546218486,0.84375,347.0,0.15614999999999998
2025,PL,埼玉西武ライオンズ,,ネビン,Tyler Nevin,137,570,509,51,141,24,0,21,228,63,1,,0,5,45,,11,78,13,0.448,0.346,0.448,0.346,0.448,141,21,63,137,570,509,,24,0,51,0.346,0.448,45,,11,,228,1,,0,5,,-0.000063,-0.102,7.894736842105263,13.684210526315791,0.5769230769230769,76.54873646209386,,0.2891566265060241,0.26129666011787817,0.7480314960629921,346.0,0.1557
2025,PL,北海道日本ハムファイターズ,,清宮　幸太郎,K.Kiyomiya,138,577,525,63,143,25,1,12,206,65,1,,0,5,46,,1,85,9,0.392,0.329,0.392,0.329,0.392,143,12,65,138,577,525,,25,1,63,0.329,0.392,46,,1,,206,1,,0,5,,0.000381,-0.063,7.9722703639514725,14.731369150779896,0.5411764705882353,68.18563922942207,,0.302540415704388,0.20952380952380953,0.649616368286445,329.0,0.14805000000000001
2025,PL,千葉ロッテマリーンズ,,藤原　恭大,K.Fujiwara,107,452,409,38,111,12,6,4,147,24,6,,4,0,33,,6,80,3,0.359,0.335,0.359,0.335,0.359,111,4,24,107,452,409,,12,6,38,0.335,0.359,33,,6,,147,6,,4,0,,0.000413,-0.024,7.300884955752212,17.699115044247787,0.4125,47.89140271493213,,0.3292307692307692,0.18337408312958436,0.6378737541528239,335.0,0.15075000000000002
