year,league,team,player_id,player_name_ja,player_name_en,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HBP,SO,GDP,AVG,OBP,SLG,OPS,1B,IsoP,IsoD,IOPS,BB%,K%,BB/K,BABIP,GPA,NOI,SecA,TA,打率,安打,本塁打,打点,試合,打席,打数,単打,二塁打,三塁打,得点,出塁率,長打率,四球,敬遠,死球,三振,塁打,盗塁,盗塁死,犠打,犠飛,併殺打,RC,XR,K,GIDP
2025,CL,広島東洋カープ,1005134,高橋　昂也,K.Takahashi,24.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.5,0.5,1.0,1.5,0.0,0.5,0.0,1.0,0.0,50.0,0.0,1.0,0.475,833.3333333333333,0.5,2.0,0.5,1.0,0.0,2.0,24.0,2.0,2.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,0,0.0,,2.0,0.0,0,0.0,0.0,,0.768111111111111,0.622,,
2025,CL,東京ヤクルトスワローズ,1005159,鈴木　叶,K.Suzuki,2.0,6.0,6.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0,1,0.0,0.0,0.0,0,0.0,1.0,0.0,0.333,0.333,0.333,0.666,2.0,0.0,0.0,0.333,0.0,16.666666666666664,0.0,0.4,0.23310000000000003,444.0,-0.16666666666666666,0.4,0.333,2.0,0.0,1.0,2.0,6.0,6.0,2.0,0.0,0.0,0.0,0.333,0.333,0.0,0,0.0,,2.0,0,1,0.0,0.0,,0.29514814814814727,0.31199999999999994,,
2025,CL,読売ジャイアンツ,11015136,リチャード,R.Richado（sunagawa,77.0,253.0,232.0,17.0,49.0,7.0,0.0,11.0,89.0,39.0,1,0,0.0,2.0,13.0,0,6.0,90.0,4.0,0.211,0.269,0.384,0.653,31.0,0.17300000000000001,0.058000000000000024,0.442,5.138339920948617,35.573122529644266,0.14444444444444443,0.2857142857142857,0.21705000000000002,397.0,0.23275862068965517,0.5828877005347594,0.211,49.0,11.0,39.0,77.0,253.0,232.0,31.0,7.0,0.0,17.0,0.269,0.384,13.0,0,6.0,,89.0,1,0,0.0,2.0,,23.429612648221337,25.089999999999996,,
2025,CL,横浜DeNAベイスターズ,11015151,坂本　裕哉,Y.Sakamoto,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,nan,0.0,,,,nan,nan,nan,nan,nan,nan,nan,nan,,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,,0.0,0.0,0,0.0,0.0,,nan,0.0,,
2025,CL,中日ドラゴンズ,11015153,近藤　廉,R.Kondou,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,nan,0.0,,,,nan,nan,nan,nan,nan,nan,nan,nan,,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,,0.0,0.0,0,0.0,0.0,,nan,0.0,,
2025,CL,読売ジャイアンツ,1105138,泉　圭輔,K.Izumi,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,nan,0.0,,,,nan,nan,nan,nan,nan,nan,nan,nan,,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,,0.0,0.0,0,0.0,0.0,,nan,0.0,,
2025,CL,阪神タイガース,1105159,石黒　佑弥,Y.Ishiguro,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,nan,0.0,,,,nan,nan,nan,nan,nan,nan,nan,nan,,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,,0.0,0.0,0,0.0,0.0,,nan,0.0,,
2025,CL,読売ジャイアンツ,11215114,田中　将大,M.Tanaka,10.0,14.0,13.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0,1.0,0.0,0.0,0,0.0,9.0,0.0,0.154,0.154,0.231,0.385,1.0,0.07700000000000001,0.0,0.231,0.0,64.28571428571429,0.0,0.5,0.12705,230.99999999999997,0.07692307692307693,0.2727272727272727,0.154,2.0,0.0,0.0,10.0,14.0,13.0,1.0,1.0,0.0,1.0,0.154,0.231,0.0,0,0.0,,3.0,0.0,0,1.0,0.0,,0.18774603174603222,0.19800000000000004,,
2025,CL,東京ヤクルトスワローズ,11315115,石川　雅規,M.Ishikawa,8.0,11.0,11.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,4.0,0.0,0.091,0.091,0.091,0.182,1.0,0.0,0.0,0.091,0.0,36.36363636363637,0.0,0.14285714285714285,0.0637,121.33333333333333,0.0,0.1,0.091,1.0,0.0,0.0,8.0,11.0,11.0,1.0,0.0,0.0,0.0,0.091,0.091,0.0,0,0.0,,1.0,0.0,0,0.0,0.0,,-0.5231111111111115,-0.43200000000000005,,
2025,CL,阪神タイガース,11315138,漆原　大晟,T.Urushihara,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,nan,0.0,,,,nan,nan,nan,nan,nan,nan,nan,nan,,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,,0.0,0.0,0,0.0,0.0,,nan,0.0,,
2025,CL,広島東洋カープ,11415134,床田　寛樹,H.Tokoda,26.0,57.0,54.0,6.0,14.0,2.0,0.0,1.0,19.0,2.0,0.0,0,3.0,0.0,0.0,0,0.0,12.0,1.0,0.259,0.259,0.352,0.611,11.0,0.09299999999999997,0.0,0.352,0.0,21.052631578947366,0.0,0.3170731707317073,0.20455,376.33333333333337,0.09259259259259259,0.4634146341463415,0.259,14.0,1.0,2.0,26.0,57.0,54.0,11.0,2.0,0.0,6.0,0.259,0.352,0.0,0,0.0,,19.0,0.0,0,3.0,0.0,,4.540651072124739,4.433999999999999,,
2025,CL,読売ジャイアンツ,11515130,岡本　和真,K.Okamoto,69.0,293.0,251.0,38.0,82.0,21.0,1.0,15.0,150.0,49.0,1,1,0.0,2.0,33.0,0,7.0,33.0,5.0,0.327,0.416,0.598,1.014,45.0,0.27099999999999996,0.08899999999999997,0.6869999999999999,11.262798634812286,11.262798634812286,1.0,0.32682926829268294,0.3367,615.3333333333333,0.40239043824701193,1.0914285714285714,0.327,82.0,15.0,49.0,69.0,293.0,251.0,45.0,21.0,1.0,38.0,0.416,0.598,33.0,0,7.0,,150.0,1,1,0.0,2.0,,59.41646264694725,57.135999999999996,,
2025,CL,中日ドラゴンズ,11515131,岡田　俊哉,T.Okada,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,0,0.0,0.0,,-0.10799999999999998,-0.098,,
2025,CL,中日ドラゴンズ,11515133,大野　雄大,Y.Oono,20.0,41.0,32.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,8.0,0.0,1.0,0,0.0,19.0,0.0,0.031,0.061,0.031,0.092,1.0,0.0,0.03,0.061,2.4390243902439024,46.34146341463415,0.05263157894736842,0.07692307692307693,0.035199999999999995,71.33333333333333,0.03125,0.06451612903225806,0.031,1.0,0.0,0.0,20.0,41.0,32.0,1.0,0.0,0.0,0.0,0.061,0.031,1.0,0,0.0,,1.0,0.0,0,8.0,0.0,,-2.0919457994579886,-1.7820000000000003,,
2025,CL,東京ヤクルトスワローズ,11515137,小川　泰弘,Y.Ogawa,13.0,28.0,22.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0,5.0,1.0,0.0,0,0.0,10.0,0.0,0.045,0.043,0.091,0.134,0.0,0.046,-0.0020000000000000018,0.089,0.0,35.714285714285715,0.0,0.07692307692307693,0.0421,73.33333333333333,0.045454545454545456,0.09523809523809523,0.045,1.0,0.0,1.0,13.0,28.0,22.0,0.0,1.0,0.0,0.0,0.043,0.091,0.0,0,0.0,,2.0,0.0,0,5.0,1.0,,-1.1459682539682525,-0.6799999999999999,,
2025,CL,阪神タイガース,11515155,岡留　英貴,H.Okadome,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,nan,0.0,,,,nan,nan,nan,nan,nan,nan,nan,nan,,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,,0.0,0.0,0,0.0,0.0,,nan,0.0,,
2025,CL,読売ジャイアンツ,11515157,門脇　誠,M.Kadowaki,81.0,176.0,157.0,14.0,35.0,6.0,1.0,0.0,43.0,4.0,6,1,8.0,0.0,10.0,0,1.0,32.0,2.0,0.223,0.274,0.274,0.548,28.0,0.05100000000000002,0.05100000000000002,0.325,5.681818181818182,18.181818181818183,0.3125,0.28,0.19180000000000003,365.33333333333337,0.1464968152866242,0.48,0.223,35.0,0.0,4.0,81.0,176.0,157.0,28.0,6.0,1.0,14.0,0.274,0.274,10.0,0,1.0,,43.0,6,1,8.0,0.0,,12.29955303030303,12.203999999999999,,
2025,CL,東京ヤクルトスワローズ,11615134,長谷川　宙輝,H.Hasegawa,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,nan,0.0,,,,nan,nan,nan,nan,nan,nan,nan,nan,,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,,0.0,0.0,0,0.0,0.0,,nan,0.0,,
2025,CL,東京ヤクルトスワローズ,11615157,橋本　星哉,S.Hashimoto,15.0,17.0,16.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0.0,0.0,1.0,0,0.0,4.0,1.0,0.125,0.176,0.125,0.301,2.0,0.0,0.05099999999999999,0.176,5.88235294117647,23.52941176470588,0.25,0.16666666666666666,0.11044999999999999,217.66666666666666,0.0625,0.2,0.125,2.0,0.0,0.0,15.0,17.0,16.0,2.0,0.0,0.0,0.0,0.176,0.125,1.0,0,0.0,,2.0,0.0,0,0.0,0.0,,-0.43469281045751806,-0.32199999999999984,,
2025,CL,東京ヤクルトスワローズ,11815134,星　知弥,T.Hoshi,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,nan,0.0,,,,nan,nan,nan,nan,nan,nan,nan,nan,,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,,0.0,0.0,0,0.0,0.0,,nan,0.0,,
2025,CL,東京ヤクルトスワローズ,11815136,増田　珠,S.Masuda,75.0,132.0,116.0,9.0,27.0,4.0,2.0,1.0,38.0,11.0,1,0,2.0,0.0,10.0,0,4.0,19.0,2.0,0.233,0.315,0.328,0.643,20.0,0.095,0.08199999999999999,0.41,7.575757575757576,14.393939393939394,0.5263157894736842,0.2708333333333333,0.22375,424.3333333333333,0.1896551724137931,0.5824175824175825,0.233,27.0,1.0,11.0,75.0,132.0,116.0,20.0,4.0,2.0,9.0,0.315,0.328,10.0,0,4.0,,38.0,1,0,2.0,0.0,,12.609398989898992,12.517999999999999,,
2025,CL,中日ドラゴンズ,11915130,齋藤　綱記,K.Saitou,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,nan,0.0,,,,nan,nan,nan,nan,nan,nan,nan,nan,,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,,0.0,0.0,0,0.0,0.0,,nan,0.0,,
2025,CL,阪神タイガース,11915132,坂本　誠志郎,S.Sakamoto,117.0,414.0,340.0,21.0,84.0,19.0,1.0,2.0,111.0,27.0,2,2,16.0,0.0,53.0,0,5.0,91.0,6.0,0.247,0.357,0.326,0.683,62.0,0.07900000000000001,0.10999999999999999,0.436,12.80193236714976,21.980676328502415,0.5824175824175825,0.3319838056680162,0.24214999999999998,465.6666666666667,0.23529411764705882,0.6477272727272727,0.247,84.0,2.0,27.0,117.0,414.0,340.0,62.0,19.0,1.0,21.0,0.357,0.326,53.0,0,5.0,,111.0,2,2,16.0,0.0,,43.549768115942015,42.69200000000001,,
2025,CL,広島東洋カープ,11915134,坂倉　将吾,S.Sakakura,104.0,399.0,345.0,29.0,82.0,26.0,1.0,5.0,125.0,37.0,1,0,4.0,3.0,43.0,0,4.0,72.0,8.0,0.238,0.327,0.362,0.6890000000000001,50.0,0.124,0.08900000000000002,0.451,10.776942355889723,18.045112781954884,0.5972222222222222,0.28413284132841327,0.23765,447.66666666666663,0.25217391304347825,0.6383763837638377,0.238,82.0,5.0,37.0,104.0,399.0,345.0,50.0,26.0,1.0,29.0,0.327,0.362,43.0,0,4.0,,125.0,1,0,4.0,3.0,,42.30680200501246,42.184000000000005,,
2025,CL,東京ヤクルトスワローズ,11915153,木澤　尚文,N.Kizawa,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,nan,0.0,,,,nan,nan,nan,nan,nan,nan,nan,nan,,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,,0.0,0.0,0,0.0,0.0,,nan,0.0,,
2025,CL,阪神タイガース,1305130,植田　海,K.Ueda,42.0,19.0,17.0,10.0,1.0,1.0,0.0,0.0,2.0,1.0,4,0,0.0,0.0,2.0,0,0.0,9.0,0.0,0.059,0.158,0.118,0.276,0.0,0.059,0.099,0.217,10.526315789473683,47.368421052631575,0.2222222222222222,0.125,0.1006,197.33333333333334,0.4117647058823529,0.5,0.059,1.0,0.0,1.0,42.0,19.0,17.0,0.0,1.0,0.0,10.0,0.158,0.118,2.0,0,0.0,,2.0,4,0,0.0,0.0,,0.46705263157894805,0.6080000000000002,,
2025,CL,中日ドラゴンズ,1305131,大島　洋平,Y.Ooshima,59.0,98.0,95.0,8.0,23.0,0.0,0.0,0.0,23.0,4.0,4,0,0.0,0.0,3.0,0,0.0,14.0,0.0,0.242,0.265,0.242,0.507,23.0,0.0,0.02300000000000002,0.265,3.061224489795918,14.285714285714285,0.21428571428571427,0.2839506172839506,0.17975000000000002,345.6666666666667,0.07368421052631578,0.4166666666666667,0.242,23.0,0.0,4.0,59.0,98.0,95.0,23.0,0.0,0.0,8.0,0.265,0.242,3.0,0,0.0,,23.0,4,0,0.0,0.0,,6.542748299319726,6.648,,
2025,CL,横浜DeNAベイスターズ,1305138,大貫　晋一,S.Oonuki,11.0,18.0,18.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,8.0,0.0,0.111,0.111,0.111,0.222,2.0,0.0,0.0,0.111,0.0,44.44444444444444,0.0,0.2,0.0777,148.0,0.0,0.125,0.111,2.0,0.0,0.0,11.0,18.0,18.0,2.0,0.0,0.0,2.0,0.111,0.111,0.0,0,0.0,,2.0,0.0,0,0.0,0.0,,-0.6422716049382711,-0.504,,
