year,league,team,player_id,player_name_ja,player_name_en,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HBP,SO,GDP,AVG,OBP,SLG,OPS,1B,IsoP,IsoD,IOPS,BB%,K%,BB/K,BABIP,GPA,NOI,SecA,TA,打率,安打,本塁打,打点,試合,打席,打数,単打,二塁打,三塁打,得点,出塁率,長打率,四球,敬遠,死球,三振,塁打,盗塁,盗塁死,犠打,犠飛,併殺打,RC,XR,K,GIDP
2025,PL,福岡ソフトバンクホークス,1005137,東浜　巨,Higashihama Nao,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,nan,0.0,,,,nan,nan,nan,nan,nan,nan,nan,nan,,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,,0.0,0.0,0,0.0,0.0,,nan,0.0,,
2025,PL,埼玉西武ライオンズ,1005153,佐々木　健,Sasaki Takeru,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,nan,0.0,,,,nan,nan,nan,nan,nan,nan,nan,nan,,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,,0.0,0.0,0,0.0,0.0,,nan,0.0,,
2025,PL,千葉ロッテマリーンズ,1005157,田中　晴也,Tanaka Haruya,13.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.2,0.2,0.2,0.4,1.0,0.0,0.0,0.2,0.0,20.0,0.0,0.25,0.14,266.6666666666667,0.0,0.25,0.2,1.0,0.0,2.0,13.0,5.0,5.0,1.0,0.0,0.0,0.0,0.2,0.2,0.0,0,0.0,,1.0,0.0,0,0.0,0.0,,0.11355555555555608,0.13199999999999998,,
2025,PL,福岡ソフトバンクホークス,11015136,リチャード,Richado（sunagawa Richado）,6.0,22.0,22.0,1.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,12.0,1.0,0.091,0.091,0.182,0.273,0.0,0.091,0.0,0.182,0.0,54.54545454545454,0.0,0.2,0.08645,151.66666666666669,0.09090909090909091,0.19047619047619047,0.091,2.0,0.0,0.0,6.0,22.0,22.0,0.0,2.0,0.0,1.0,0.091,0.182,0.0,0,0.0,,4.0,0.0,0,0.0,0.0,,-0.8776161616161637,-0.8260000000000002,,
2025,PL,東北楽天ゴールデンイーグルス,11015138,辰己　涼介,Tatsumi Ryousuke,114.0,422.0,367.0,36.0,88.0,12.0,2.0,7.0,125.0,32.0,0.0,0,1.0,5.0,40.0,0,9.0,91.0,12.0,0.24,0.325,0.341,0.666,67.0,0.10100000000000003,0.08500000000000002,0.426,9.47867298578199,21.563981042654028,0.43956043956043955,0.2956204379562044,0.23150000000000004,438.6666666666667,0.2098092643051771,0.5979381443298969,0.24,88.0,7.0,32.0,114.0,422.0,367.0,67.0,12.0,2.0,36.0,0.325,0.341,40.0,0,9.0,,125.0,0.0,0,1.0,5.0,,40.86545076355975,42.571999999999996,,
2025,PL,北海道日本ハムファイターズ,11015159,進藤　勇也,Shintou Yuuya,13.0,31.0,26.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0,3.0,0.0,2.0,0,0.0,8.0,1.0,0.077,0.143,0.077,0.21999999999999997,2.0,0.0,0.06599999999999999,0.143,6.451612903225806,25.806451612903224,0.25,0.1111111111111111,0.0836,168.66666666666666,0.07692307692307693,0.16,0.077,2.0,0.0,0.0,13.0,31.0,26.0,2.0,0.0,0.0,3.0,0.143,0.077,2.0,0,0.0,,2.0,0.0,0,3.0,0.0,,-1.0263870967741973,-0.7939999999999998,,
2025,PL,北海道日本ハムファイターズ,1105134,池田　隆英,Ikeda Takahide,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,nan,0.0,,,,nan,nan,nan,nan,nan,nan,nan,nan,,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,,0.0,0.0,0,0.0,0.0,,nan,0.0,,
2025,PL,千葉ロッテマリーンズ,1105135,石川　慎吾,Ishikawa Shingo,14.0,36.0,35.0,2.0,3.0,1.0,0.0,0.0,4.0,3.0,0.0,0,0.0,0.0,1.0,0,0.0,11.0,0.0,0.086,0.111,0.114,0.225,2.0,0.02800000000000001,0.02500000000000001,0.139,2.7777777777777777,30.555555555555557,0.09090909090909091,0.125,0.07845,149.0,0.05714285714285714,0.15625,0.086,3.0,0.0,3.0,14.0,36.0,35.0,2.0,1.0,0.0,2.0,0.111,0.114,1.0,0,0.0,,4.0,0.0,0,0.0,0.0,,-1.1701481481481473,-0.9079999999999999,,
2025,PL,福岡ソフトバンクホークス,1105151,石塚　綜一郎,Ishizuka Souichirou,24.0,60.0,55.0,4.0,13.0,4.0,0.0,0.0,17.0,6.0,0.0,0,0.0,0.0,1.0,0,4.0,17.0,2.0,0.236,0.3,0.309,0.609,9.0,0.07300000000000001,0.064,0.373,1.6666666666666667,28.333333333333332,0.058823529411764705,0.34210526315789475,0.21225,402.99999999999994,0.09090909090909091,0.5,0.236,13.0,0.0,6.0,24.0,60.0,55.0,9.0,4.0,0.0,4.0,0.3,0.309,1.0,0,4.0,,17.0,0.0,0,0.0,0.0,,4.6044444444444395,4.4239999999999995,,
2025,PL,オリックス・バファローズ,1105153,阿部　翔太,Abe Shouta,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,nan,0.0,,,,nan,nan,nan,nan,nan,nan,nan,nan,,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,,0.0,0.0,0,0.0,0.0,,nan,0.0,,
