year,league,team,player_id,player_name_ja,player_name_en,ERA,K-BB%,WHIP,W,L,G,IP,SV,BF,H,HR,BB,IBB,HBP,SO,ER,R,HOLD,HP,CG,SHO,WPCT,K%,BB%,WP,BK
1961,PL,阪急ブレーブス,91193802,秋本　祐作,Y.Akimoto,3.8,6.6,1.24,6,10,44,161.0,,669,163,9,37,,2,81,68,75,,,3,0,0.375,12.1,5.5,0,0
1961,PL,阪急ブレーブス,51153808,安藤　治久,H.Andou,2.82,8.8,1.27,6,7,47,153.1,,639,154,7,41,,3,97,48,60,,,2,1,0.462,15.2,6.4,1,0
1961,PL,阪急ブレーブス,71173808,足立　光宏,M.Adachi,4.06,9.7,1.32,1,4,27,62.0,,267,71,7,11,,2,37,28,33,,,0,0,0.2,13.9,4.1,0,0
1961,PL,阪急ブレーブス,31133823,安藤　英志,H.Andou,14.29,0.0,2.65,0,1,4,5.2,,31,12,1,3,,0,3,9,9,,,0,0,0.0,9.7,9.7,0,0
1961,PL,阪急ブレーブス,41143806,石井　茂雄,S.Ishii,5.4,1.7,1.43,1,1,11,26.2,,119,31,5,7,,0,9,16,20,,,0,0,0.5,7.6,5.9,1,0
1961,PL,阪急ブレーブス,91793809,梶本　隆夫,T.Kajimoto,2.8,7.7,1.18,17,23,54,269.2,,1105,261,25,56,,2,141,84,108,,,17,3,0.425,12.8,5.1,1,0
1961,PL,阪急ブレーブス,01303804,梶本　靖郎,,2.95,10.7,1.05,1,1,15,42.2,,169,34,3,11,,0,29,14,17,,,0,0,0.5,17.2,6.5,0,0
1961,PL,阪急ブレーブス,51753823,佐藤　公博,K.Satou,3.59,9.8,1.15,4,7,47,135.1,,549,115,14,40,,7,94,54,57,,,1,1,0.364,17.1,7.3,2,1
1961,PL,阪急ブレーブス,61563803,種田　弘,H.Taneda,3.86,3.2,1.57,0,1,9,14.0,,62,18,1,4,,0,6,6,8,,,0,0,0.0,9.7,6.5,0,0
1961,PL,阪急ブレーブス,71073804,西田　稔,M.Nishida,13.5,0.0,2.0,0,0,1,2.0,,10,3,1,1,,1,1,3,3,,,0,0,0.0,10.0,10.0,0,0
1961,PL,阪急ブレーブス,11213806,牧田　政彦,M.Makita,4.03,0.9,1.54,0,2,25,51.1,,232,47,5,32,,4,34,23,27,,,0,0,0.0,14.7,13.8,4,0
1961,PL,阪急ブレーブス,71473823,牧野　宏,H.Makino,6.88,2.5,1.79,1,5,11,34.0,,163,49,5,12,,1,16,26,30,,,0,0,0.167,9.8,7.4,0,0
