year,league,team,player_id,player_name_ja,player_name_en,ERA,K-BB%,WHIP,W,L,G,IP,SV,BF,H,HR,BB,IBB,HBP,SO,ER,R,HOLD,HP,CG,SHO,WPCT,K%,BB%,WP,BK
2010,CL,阪神タイガース,,秋山 拓巳,,3.35,6.0,1.14,4,3,7,40.1,0,166,33,3,13,1,0,23,15,16,0,0,1,1,0.571,13.9,7.8,0,0
2010,CL,阪神タイガース,,安藤 優也,,7.27,6.9,1.77,2,3,19,52.0,0,246,78,9,14,1,0,31,42,45,0,0,0,0,0.4,12.6,5.7,4,1
2010,CL,阪神タイガース,,石川 俊介,,5.79,4.8,1.71,0,0,4,4.2,0,21,6,0,2,0,0,3,3,3,0,0,0,0,0.0,14.3,9.5,2,0
2010,CL,阪神タイガース,,上園 啓史,,4.75,4.5,1.43,3,4,25,60.2,0,265,60,8,27,1,1,39,32,36,0,1,0,0,0.429,14.7,10.2,3,2
2010,CL,阪神タイガース,,江草 仁貴,,5.12,2.2,1.81,1,0,21,19.1,0,89,22,1,13,2,0,15,11,12,2,3,0,0,1.0,16.9,14.6,1,0
2010,CL,阪神タイガース,,金村 曉,,22.5,-18.8,4.5,0,0,1,2.0,0,16,6,1,3,0,0,0,5,6,0,0,0,0,0.0,0.0,18.8,0,0
2010,CL,阪神タイガース,,川崎 雄介,,6.75,15.6,2.02,0,1,22,13.1,0,64,23,1,4,1,0,14,10,10,3,3,0,0,0.0,21.9,6.2,0,0
2010,CL,阪神タイガース,,久保 康友,,3.25,13.8,1.13,14,5,29,202.1,0,819,183,22,45,5,12,158,73,75,0,0,4,1,0.737,19.3,5.5,4,0
2010,CL,阪神タイガース,,久保田 智之,,3.2,15.5,1.09,6,3,71,81.2,0,329,72,11,17,1,0,68,29,37,28,34,0,0,0.667,20.7,5.2,6,0
2010,CL,阪神タイガース,,小嶋 達也,,12.46,4.4,2.19,0,3,4,8.2,0,45,16,3,3,0,1,5,12,12,0,0,0,0,0.0,11.1,6.7,0,0
2010,CL,阪神タイガース,,桟原 将司,,6.43,17.6,1.71,0,1,6,7.0,0,34,10,0,2,0,1,8,5,5,0,0,0,0,0.0,23.5,5.9,3,0
2010,CL,阪神タイガース,,ジェン,,0.0,-25.0,2.0,0,0,1,1.0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,25.0,0,0
2010,CL,阪神タイガース,,下柳 剛,,4.32,5.7,1.43,7,8,19,100.0,0,441,110,13,33,3,6,58,48,54,0,0,0,0,0.467,13.2,7.5,3,1
2010,CL,阪神タイガース,,スタンリッジ,,3.49,11.5,1.25,11,5,23,126.1,0,530,121,6,37,1,13,98,49,55,0,0,2,1,0.688,18.5,7.0,6,2
2010,CL,阪神タイガース,,杉山 直久,,2.84,3.6,1.58,0,0,7,6.1,0,28,8,0,2,0,1,3,2,2,0,0,0,0,0.0,10.7,7.1,0,0
2010,CL,阪神タイガース,,筒井 和也,,6.65,5.8,1.66,0,2,23,21.2,0,103,27,3,9,2,3,15,16,18,2,2,0,0,0.0,14.6,8.7,1,0
2010,CL,阪神タイガース,,鶴 直人,,3.77,4.7,1.39,2,4,21,76.1,0,337,76,7,30,3,5,46,32,36,0,0,0,0,0.333,13.6,8.9,5,0
2010,CL,阪神タイガース,,西村 憲,,3.89,19.6,1.19,7,3,65,71.2,0,296,72,11,13,2,3,71,31,33,14,21,0,0,0.7,24.0,4.4,1,0
2010,CL,阪神タイガース,,能見 篤史,,2.6,16.5,1.22,8,0,12,62.1,0,267,63,3,13,2,5,57,18,23,0,1,0,0,1.0,21.3,4.9,2,0
2010,CL,阪神タイガース,,フォッサム,,5.72,9.3,1.57,2,5,12,56.2,0,258,65,9,24,1,5,48,36,37,0,0,0,0,0.286,18.6,9.3,1,0
2010,CL,阪神タイガース,,福原 忍,,5.18,9.6,1.44,0,1,19,24.1,0,104,25,5,10,0,0,20,14,15,0,0,0,0,0.0,19.2,9.6,3,0
2010,CL,阪神タイガース,,藤川 球児,,2.01,23.7,1.07,3,4,58,62.2,28,257,47,7,20,2,5,81,14,14,5,8,0,0,0.429,31.5,7.8,1,0
2010,CL,阪神タイガース,,藤原 正典,,3.6,4.7,1.35,1,0,24,20.0,0,86,21,0,6,1,0,10,8,9,1,2,0,0,1.0,11.6,7.0,1,1
