npb_player_id,name_ja,gurazeni_id,baseballinfo_slug,match_method,confidence
01005134,高橋 昂也,1412,,gurazeni_team_2026,high
01005137,東浜 巨,587,,gurazeni_team_2026,high
01005157,田中 晴也,2356,,gurazeni_team_2026,high
01005159,鈴木 叶,2556,,gurazeni_team_2026,high
01105134,池田 隆英,1377,,gurazeni_team_2026,high
01105135,石川 慎吾,511,,gurazeni_team_2026,high
01105138,泉 圭輔,1649,,gurazeni_team_2026,high
01105150,安德 駿,2691,,gurazeni_team_2026,high
01105151,石塚 綜一郎,1867,,gurazeni_team_2026,high
01105152,飯田 琉斗,2785,,gurazeni_team_2026,high
01105153,阿部 翔太,2034,,gurazeni_team_2026,high
01105155,有薗 直輝,2120,,gurazeni_team_2026,high
01105159,石黒 佑弥,2499,,gurazeni_team_2026,high
01205118,西野 勇士,778,,gurazeni_team_2026,high
01205138,中村 稔弥,1719,,gurazeni_search,high
01205150,庄子 雄大,2716,,gurazeni_team_2026,high
01205152,谷端 将伍,2793,,gurazeni_team_2026,high
01205155,達 孝太,2112,,gurazeni_team_2026,high
01305130,植田 海,1112,,gurazeni_team_2026,high
01305131,大島 洋平,142,,gurazeni_team_2026,high
01305138,大貫 晋一,1675,,gurazeni_team_2026,high
01305152,エドポロ ケイン,2777,,gurazeni_team_2026,high
01305153,井上 朋也,2049,,gurazeni_team_2026,high
01305157,大津 亮介,2362,,gurazeni_team_2026,high
01305159,宇都宮 葵星,2492,,gurazeni_team_2026,high
01405130,野間 峻祥,1124,,gurazeni_team_2026,high
01405138,林 晃汰,1677,,gurazeni_team_2026,high
01405150,田中 陽翔,2698,,gurazeni_team_2026,high
01405152,西川 篤夢,2816,,gurazeni_team_2026,high
01505118,辛島 航,698,,gurazeni_team_2026,high
01505136,北浦 竜次,1597,,gurazeni_team_2026,high
01505150,片山 楽生,2656,,gurazeni_team_2026,high
01505151,大関 友久,1874,,gurazeni_team_2026,high
01505152,岡村 了樹,2844,,gurazeni_team_2026,high
01505155,上川畑 大悟,2229,,gurazeni_team_2026,high
01505157,北村 恵吾,2350,,gurazeni_team_2026,high
01605132,平沼 翔太,2539,,gurazeni_team_2026,high
01605138,増田 陸,1658,,gurazeni_team_2026,high
01605152,冨士 隼斗,2817,,gurazeni_team_2026,high
01605157,林 優樹,2291,,gurazeni_team_2026,high
01605159,日當 直喜,2511,,gurazeni_team_2026,high
01705130,栗原 陵矢,1034,,gurazeni_team_2026,high
01705132,小澤 怜史,1177,,gurazeni_team_2026,high
01705134,古賀 優大,1472,,gurazeni_team_2026,high
01705138,小園 海斗,1657,,gurazeni_team_2026,high
01705152,窪田 洋祐,2878,,gurazeni_team_2026,high
01705155,桐敷 拓馬,2167,,gurazeni_team_2026,high
01805136,宮本 丈,1549,,gurazeni_team_2026,high
01805150,藤田 琉生,2684,,gurazeni_team_2026,high
01805151,武藤 敦貴,1803,,gurazeni_team_2026,high
01805152,増居 翔太,2845,,gurazeni_team_2026,high
01905134,澤田 圭佑,1397,,gurazeni_team_2026,high
01905136,清水 達也,1539,,gurazeni_team_2026,high
01905138,鈴木 翔天,1681,,gurazeni_team_2026,high
01905139,平良 拳太郎,891,,gurazeni_team_2026,high
01905151,黒川 史陽,1786,,gurazeni_team_2026,high
01905152,櫻井 ユウヤ,2824,,gurazeni_team_2026,high
03005150,Ｌ．ボイト,2767,,gurazeni_team_2026,high
03005157,Ｅ．ルシアーノ,2425,,gurazeni_team_2026,high
03005159,Ｃ．ロドリゲス,2579,,gurazeni_team_2026,high
03105136,山本 拓実,1541,,gurazeni_team_2026,high
03105150,森 駿太,2727,,gurazeni_team_2026,high
03105151,山瀬 慎之助,1812,,gurazeni_team_2026,high
03105157,村松 開人,2389,,gurazeni_team_2026,high
03105159,松本 健吾,2525,,gurazeni_team_2026,high
03305150,吉納 翼,2708,,gurazeni_team_2026,high
03305152,Ｊ．カスティーヨ,2905,,gurazeni_team_2026,high
03305153,山﨑 伊織,2035,,gurazeni_team_2026,high
03505132,Ｒ．ドリス,1282,,gurazeni_team_2026,high
03505136,Ｎ．ソト,1627,,gurazeni_team_2026,high
03505152,Ｓ．ジェリー,2890,,gurazeni_team_2026,high
03505155,横山 楓,2213,,gurazeni_team_2026,high
03705152,Ｄ．モレッタ,2885,,gurazeni_team_2026,high
03905152,Ｓ．ロング,2906,,gurazeni_team_2026,high
11015136,リチャード,1559,,gurazeni_team_2026,high
11015138,辰己 涼介,1655,,gurazeni_team_2026,high
11015150,佐々木 泰,2690,,gurazeni_team_2026,high
11015151,坂本 裕哉,1900,,gurazeni_team_2026,high
11015152,島田 舜也,2841,,gurazeni_team_2026,high
11015153,近藤 廉,2043,,gurazeni_team_2026,high
11015157,平良 竜哉,2307,,gurazeni_team_2026,high
11015159,進藤 勇也,2508,,gurazeni_team_2026,high
11215114,田中 将大,678,,gurazeni_team_2026,high
11215116,中村 晃,646,,gurazeni_team_2026,high
11215118,中島 卓也,505,,gurazeni_team_2026,high
11215132,谷川原 健太,1180,,gurazeni_team_2026,high
11215134,田中 和基,1386,,gurazeni_team_2026,high
11215151,髙部 瑛斗,1821,,gurazeni_team_2026,high
11215155,髙木 翔斗,2114,,gurazeni_team_2026,high
11315115,石川 雅規,159,,gurazeni_team_2026,high
11315130,石田 健大,1143,,gurazeni_team_2026,high
11315150,一條 力真,2680,,gurazeni_team_2026,high
11315152,伊藤 大晟,2774,,gurazeni_team_2026,high
11315153,五十幡 亮汰,1948,,gurazeni_team_2026,high
11315157,イヒネ イツア,2367,,gurazeni_team_2026,high
11315159,糸川 亮太,2538,,gurazeni_team_2026,high
11415134,床田 寛樹,1411,,gurazeni_team_2026,high
11415150,竹田 祐,2679,,gurazeni_team_2026,high
11415151,津留﨑 大成,1848,,gurazeni_team_2026,high
11415159,津田 淳哉,2544,,gurazeni_team_2026,high
11515132,大城 滉二,1229,,gurazeni_team_2026,high
11515133,大野 雄大,92,,gurazeni_team_2026,high
11515137,小川 泰弘,165,,gurazeni_team_2026,high
