layer,file,year,league,era_col,total_rows,missing_era,invalid_era,zero_era,headers
staging,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv,1950,CL,ERA,86,0,3,4,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1950_PL_from_master.csv,1950,PL,ERA,69,0,0,2,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1951_CL_from_master.csv,1951,CL,ERA,76,0,1,4,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1951_PL_from_master.csv,1951,PL,ERA,65,0,0,0,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1952_CL_from_master.csv,1952,CL,ERA,73,0,1,1,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1952_PL_from_master.csv,1952,PL,ERA,75,0,0,5,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1953_CL_from_master.csv,1953,CL,ERA,82,0,0,2,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1953_PL_from_master.csv,1953,PL,ERA,82,0,0,2,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1954_CL_from_master.csv,1954,CL,ERA,79,0,0,3,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1954_PL_from_master.csv,1954,PL,ERA,105,0,1,2,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
