layer,file,year,league,ERA_col,ER_col,IP_col,R_col,total_rows,era_numeric,era_equals_er,era_equals_r,era_calc_mismatch,era_too_high,suspicious,headers
staging,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv,1950,CL,ERA,ER,IP,R,86,83,4,2,19,3,3,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1950_PL_from_master.csv,1950,PL,ERA,ER,IP,R,69,69,2,0,16,2,2,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1951_CL_from_master.csv,1951,CL,ERA,ER,IP,R,76,75,5,4,25,0,0,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1951_PL_from_master.csv,1951,PL,ERA,ER,IP,R,65,65,0,0,17,1,1,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1952_CL_from_master.csv,1952,CL,ERA,ER,IP,R,73,72,2,1,22,0,0,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1952_PL_from_master.csv,1952,PL,ERA,ER,IP,R,75,75,7,6,13,0,1,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1953_CL_from_master.csv,1953,CL,ERA,ER,IP,R,82,82,3,2,32,1,2,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1953_PL_from_master.csv,1953,PL,ERA,ER,IP,R,82,82,3,3,25,1,2,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1954_CL_from_master.csv,1954,CL,ERA,ER,IP,R,79,79,4,3,21,3,4,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1954_PL_from_master.csv,1954,PL,ERA,ER,IP,R,105,104,4,4,26,2,3,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1955_CL_from_master.csv,1955,CL,ERA,ER,IP,R,82,82,6,3,22,0,0,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1955_PL_from_master.csv,1955,PL,ERA,ER,IP,R,116,116,9,6,28,2,3,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1956_CL_from_master.csv,1956,CL,ERA,ER,IP,R,77,77,12,11,19,2,5,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1956_PL_from_master.csv,1956,PL,ERA,ER,IP,R,120,120,9,6,28,3,5,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1957_CL_from_master.csv,1957,CL,ERA,ER,IP,R,70,70,2,2,14,1,1,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1957_PL_from_master.csv,1957,PL,ERA,ER,IP,R,102,101,5,2,26,1,1,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1958_CL_from_master.csv,1958,CL,ERA,ER,IP,R,70,69,0,2,23,1,1,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1958_PL_from_master.csv,1958,PL,ERA,ER,IP,R,86,85,6,5,24,0,0,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1959_CL_from_master.csv,1959,CL,ERA,ER,IP,R,67,67,2,1,16,0,0,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1959_PL_from_master.csv,1959,PL,ERA,ER,IP,R,79,79,3,2,23,0,0,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1960_CL_from_master.csv,1960,CL,ERA,ER,IP,R,74,72,6,6,9,1,2,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1960_PL_from_master.csv,1960,PL,ERA,ER,IP,R,83,82,3,2,23,1,2,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1961_CL_from_master.csv,1961,CL,ERA,ER,IP,R,76,75,3,3,21,1,2,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1961_PL_from_master.csv,1961,PL,ERA,ER,IP,R,83,83,3,2,16,1,2,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1962_CL_from_master.csv,1962,CL,ERA,ER,IP,R,84,84,11,8,21,0,1,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
staging,_data\master_csv__rescrape_staging\pitching_1962_PL_from_master.csv,1962,PL,ERA,ER,IP,R,91,91,8,5,27,0,2,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
