layer,file,year,league,line,player_id,player_name,team,ERA_col,ERA_value,ER_col,ER_value,R_col,R_value,IP_col,IP_value,calculated_ERA_from_ER_IP,flags
staging,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv,1950,CL,25,31533898,竹本　卓,中日ドラゴンズ,ERA,27.0,ER,3,R,3,IP,1.0,27.0,era_too_high
staging,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv,1950,CL,37,21323898,島本　和夫,松竹ロビンス,ERA,27.0,ER,9,R,9,IP,3.0,27.0,era_too_high
staging,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv,1950,CL,72,83183801,玉川　郁,西日本パイレーツ,ERA,31.5,ER,7,R,8,IP,1.1,47.25,calc_mismatch:47.25|era_too_high
staging,_data\master_csv__rescrape_staging\pitching_1950_PL_from_master.csv,1950,PL,20,31233801,木村　富雄,東急フライヤーズ,ERA,31.5,ER,7,R,11,IP,1.2,37.8,calc_mismatch:37.8|era_too_high
staging,_data\master_csv__rescrape_staging\pitching_1950_PL_from_master.csv,1950,PL,38,23123801,武内　和男,大映スターズ,ERA,27.0,ER,3,R,3,IP,0.2,40.5,calc_mismatch:40.5|era_too_high
staging,_data\master_csv__rescrape_staging\pitching_1951_PL_from_master.csv,1951,PL,21,21323803,金城　政夫,東急フライヤーズ,ERA,22.5,ER,10,R,10,IP,4.0,22.5,era_too_high
staging,_data\master_csv__rescrape_staging\pitching_1952_PL_from_master.csv,1952,PL,64,61263805,拝藤　聖雄,近鉄パールス,ERA,8.0,ER,8,R,8,IP,8.1,8.64,era_equals_er|era_equals_r|calc_mismatch:8.64
staging,_data\master_csv__rescrape_staging\pitching_1953_CL_from_master.csv,1953,CL,16,11513807,大崎　三男,阪神タイガース,ERA,5.0,ER,5,R,6,IP,8.2,5.19,era_equals_er|calc_mismatch:5.19
staging,_data\master_csv__rescrape_staging\pitching_1953_CL_from_master.csv,1953,CL,30,61763807,小塚　弘司,広島東洋カープ,ERA,31.5,ER,7,R,7,IP,2.0,31.5,era_too_high
staging,_data\master_csv__rescrape_staging\pitching_1953_PL_from_master.csv,1953,PL,11,21223807,永田　和弘,阪急ブレーブス,ERA,27.0,ER,3,R,3,IP,1.0,27.0,era_too_high
staging,_data\master_csv__rescrape_staging\pitching_1953_PL_from_master.csv,1953,PL,20,41943807,白崎　泰夫,南海ホークス,ERA,5.0,ER,5,R,5,IP,8.2,5.19,era_equals_er|era_equals_r|calc_mismatch:5.19
staging,_data\master_csv__rescrape_staging\pitching_1954_CL_from_master.csv,1954,CL,21,31633809,長尾　旬,阪神タイガース,ERA,27.0,ER,3,R,3,IP,0.2,40.5,calc_mismatch:40.5|era_too_high
staging,_data\master_csv__rescrape_staging\pitching_1954_CL_from_master.csv,1954,CL,48,61063809,田代　照勝,国鉄スワローズ,ERA,5.0,ER,5,R,8,IP,8.1,5.4,era_equals_er|calc_mismatch:5.4
staging,_data\master_csv__rescrape_staging\pitching_1954_CL_from_master.csv,1954,CL,57,11713805,北川　久治,大洋松竹ロビンス,ERA,27.0,ER,6,R,6,IP,2.0,27.0,era_too_high
staging,_data\master_csv__rescrape_staging\pitching_1954_CL_from_master.csv,1954,CL,77,51753803,中西　由行,中日ドラゴンズ,ERA,45.0,ER,5,R,5,IP,0.2,67.5,calc_mismatch:67.5|era_too_high
staging,_data\master_csv__rescrape_staging\pitching_1954_PL_from_master.csv,1954,PL,53,01903803,山根　俊英,毎日オリオンズ,ERA,3.0,ER,3,R,3,IP,8.1,3.24,era_equals_er|era_equals_r|calc_mismatch:3.24
staging,_data\master_csv__rescrape_staging\pitching_1954_PL_from_master.csv,1954,PL,99,91293809,田村　満,高橋ユニオンズ,ERA,31.5,ER,7,R,7,IP,1.2,37.8,calc_mismatch:37.8|era_too_high
staging,_data\master_csv__rescrape_staging\pitching_1954_PL_from_master.csv,1954,PL,105,83183809,村田　博秀,高橋ユニオンズ,ERA,27.0,ER,6,R,7,IP,2.0,27.0,era_too_high
staging,_data\master_csv__rescrape_staging\pitching_1955_PL_from_master.csv,1955,PL,11,71273809,田原　康行,阪急ブレーブス,ERA,27.0,ER,3,R,3,IP,1.0,27.0,era_too_high
staging,_data\master_csv__rescrape_staging\pitching_1955_PL_from_master.csv,1955,PL,60,61863805,和田　勇,毎日オリオンズ,ERA,6.0,ER,6,R,6,IP,8.1,6.48,era_equals_er|era_equals_r|calc_mismatch:6.48
staging,_data\master_csv__rescrape_staging\pitching_1955_PL_from_master.csv,1955,PL,66,11213800,重村　武男,近鉄パールス,ERA,24.0,ER,8,R,8,IP,3.0,24.0,era_too_high
staging,_data\master_csv__rescrape_staging\pitching_1956_CL_from_master.csv,1956,CL,18,91993802,佐藤　敬典,阪神タイガース,ERA,36.0,ER,4,R,6,IP,0.2,54.0,calc_mismatch:54.0|era_too_high
staging,_data\master_csv__rescrape_staging\pitching_1956_CL_from_master.csv,1956,CL,21,61263802,西　五十六,阪神タイガース,ERA,5.0,ER,5,R,5,IP,8.2,5.19,era_equals_er|era_equals_r|calc_mismatch:5.19
staging,_data\master_csv__rescrape_staging\pitching_1956_CL_from_master.csv,1956,CL,30,91093809,栄屋　悦男,広島東洋カープ,ERA,9.0,ER,9,R,11,IP,8.2,9.35,era_equals_er|calc_mismatch:9.35
staging,_data\master_csv__rescrape_staging\pitching_1956_CL_from_master.csv,1956,CL,52,91193805,石川　克彦,中日ドラゴンズ,ERA,6.0,ER,6,R,6,IP,8.1,6.48,era_equals_er|era_equals_r|calc_mismatch:6.48
staging,_data\master_csv__rescrape_staging\pitching_1956_CL_from_master.csv,1956,CL,75,81283800,田頭　光男,大洋ホエールズ,ERA,36.0,ER,4,R,4,IP,1.0,36.0,era_too_high
staging,_data\master_csv__rescrape_staging\pitching_1956_PL_from_master.csv,1956,PL,31,71173807,赤松　瞭,大映スターズ,ERA,2.0,ER,2,R,3,IP,8.2,2.08,era_equals_er|calc_mismatch:2.08
staging,_data\master_csv__rescrape_staging\pitching_1956_PL_from_master.csv,1956,PL,32,91193807,秋山　武司,大映スターズ,ERA,27.0,ER,3,R,3,IP,0.2,40.5,calc_mismatch:40.5|era_too_high
staging,_data\master_csv__rescrape_staging\pitching_1956_PL_from_master.csv,1956,PL,72,11613800,辻中　貞年,近鉄パールス,ERA,6.0,ER,6,R,7,IP,8.2,6.23,era_equals_er|calc_mismatch:6.23
staging,_data\master_csv__rescrape_staging\pitching_1956_PL_from_master.csv,1956,PL,79,21123800,有吉　洋雅,西鉄ライオンズ,ERA,36.0,ER,4,R,4,IP,1.0,36.0,era_too_high
staging,_data\master_csv__rescrape_staging\pitching_1956_PL_from_master.csv,1956,PL,91,51453802,西原　恭治,西鉄ライオンズ,ERA,27.0,ER,3,R,3,IP,1.0,27.0,era_too_high
staging,_data\master_csv__rescrape_staging\pitching_1957_CL_from_master.csv,1957,CL,41,11713804,斎藤　良雄,国鉄スワローズ,ERA,27.0,ER,3,R,3,IP,1.0,27.0,era_too_high
staging,_data\master_csv__rescrape_staging\pitching_1957_PL_from_master.csv,1957,PL,63,81183803,大津　守,西鉄ライオンズ,ERA,45.0,ER,5,R,6,IP,1.0,45.0,era_too_high
staging,_data\master_csv__rescrape_staging\pitching_1958_CL_from_master.csv,1958,CL,27,41343806,菊地　武和,広島東洋カープ,ERA,27.0,ER,3,R,3,IP,0.1,81.0,calc_mismatch:81.0|era_too_high
staging,_data\master_csv__rescrape_staging\pitching_1960_CL_from_master.csv,1960,CL,26,71873802,前岡　勤也,阪神タイガース,ERA,6.0,ER,6,R,6,IP,8.2,6.23,era_equals_er|era_equals_r|calc_mismatch:6.23
staging,_data\master_csv__rescrape_staging\pitching_1960_CL_from_master.csv,1960,CL,60,31733804,坂口　俊一,中日ドラゴンズ,ERA,27.0,ER,3,R,3,IP,1.0,27.0,era_too_high
staging,_data\master_csv__rescrape_staging\pitching_1960_PL_from_master.csv,1960,PL,16,51353821,柿本　実,南海ホークス,ERA,36.0,ER,4,R,4,IP,1.0,36.0,era_too_high
staging,_data\master_csv__rescrape_staging\pitching_1960_PL_from_master.csv,1960,PL,76,81383821,久保　征弘,近鉄バファローズ,ERA,7.0,ER,7,R,7,IP,8.1,7.56,era_equals_er|era_equals_r|calc_mismatch:7.56
staging,_data\master_csv__rescrape_staging\pitching_1961_CL_from_master.csv,1961,CL,18,21123808,井　洋雄,広島東洋カープ,ERA,36.0,ER,4,R,4,IP,0.2,54.0,calc_mismatch:54.0|era_too_high
