layer,file,year,league,line,player_id,player_name,era_col,era_value,headers_sample
master,_data\master_csv\pitching_2008_CL_from_master.csv,2008,CL,17,,鶴 直人,ERA,,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
master,_data\master_csv\pitching_2008_CL_from_master.csv,2008,CL,76,,岡本 秀寛,ERA,,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
master,_data\master_csv\pitching_2009_CL_from_master.csv,2009,CL,70,,赤川 克紀,ERA,,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
master,_data\master_csv\pitching_2009_CL_from_master.csv,2009,CL,78,,加藤 幹典,ERA,,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
master,_data\master_csv\pitching_2009_PL_from_master.csv,2009,PL,6,,小椋 真介,ERA,,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
master,_data\master_csv\pitching_2012_CL_from_master.csv,2012,CL,86,,真田 裕貴,ERA,,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
master,_data\master_csv\pitching_2012_PL_from_master.csv,2012,PL,70,,土屋 健二,ERA,,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
master,_data\master_csv\pitching_2014_CL_from_master.csv,2014,CL,147,,鈴木 義広,ERA,,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
master,_data\master_csv\pitching_2017_CL_from_master.csv,2017,CL,26,,守屋 功輝,ERA,,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
master,_data\master_csv\pitching_2018_PL_from_master.csv,2018,PL,45,,髙橋 朋己,ERA,,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
master,_data\master_csv\pitching_2019_PL_from_master.csv,2019,PL,59,,南川 忠亮,ERA,,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
master,_data\master_csv\pitching_2020_PL_from_master.csv,2020,PL,105,,藤平 尚真,ERA,,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
master,_data\master_csv\pitching_2022_CL_from_master.csv,2022,CL,148,,岩嵜 翔,ERA,,year|league|team|player_id|player_name_ja|player_name_en|G|IP|W|L|SV|ERA|BF|H|HR|BB|IBB|HBP|SO|ER|R|HOLD|HP|CG|SHO|WPCT|WP|BK
