year,league,team,player_id,player_name_ja,changed_cols,old_BF,new_BF,old_IP,new_IP,old_H,new_H,old_HR,new_HR,old_BB,new_BB,old_HBP,new_HBP,old_SO,new_SO,old_WP,new_WP,old_BK,new_BK,old_R,new_R,old_ER,new_ER,old_ERA,new_ERA,html_cells,csv_file
1950,CL,読売ジャイアンツ,41743801,大友　工,H|HR|BB|HBP|SO|WP|BK,356,356,85.0,85.0,85,71,,3,71,39,3,0,39,44,0,1,44,0,41,41,35,35,3.71,3.71,1950|読　売|15|4|4||||5|0|0|.500|356|85|85||71|3|39|0|44|1|0|41|35|3.71,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv
1950,CL,読売ジャイアンツ,71373893,多田　文久三,H|HR|BB|HBP|SO|WP|BK,1009,1009,244.0,244.0,244,215,,12,215,89,12,5,89,138,5,2,138,0,103,103,79,79,2.91,2.91,1950|読　売|40|14|9||||13|2|1|.609|1009|244|244||215|12|89|5|138|2|0|103|79|2.91,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv
1950,CL,読売ジャイアンツ,31933895,別所　毅彦,H|HR|BB|HBP|SO|WP|BK,1287,1287,314.0,314.0,314,273,,24,273,93,24,4,93,157,4,1,157,1,114,114,89,89,2.55,2.55,1950|読　売|43|22|11||||27|8|0|.667|1287|314|314||273|24|93|4|157|1|1|114|89|2.55,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv
1950,CL,読売ジャイアンツ,81983896,吉江　英四郎,H|HR|BB|HBP|SO|BK,255,255,60.0,60.0,60,68,,4,68,11,4,0,11,20,0,0,20,0,32,32,23,23,3.45,3.45,1950|読　売|14|3|4||||2|0|1|.429|255|60|60||68|4|11|0|20|0|0|32|23|3.45,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv
1950,CL,阪神タイガース,91193896,内山　清,H|HR|BB|HBP|SO|WP|BK,936,936,220.0,220.0,220,243,,32,243,54,32,1,54,48,1,0,48,0,128,128,109,109,4.46,4.46,1950|阪　神|47|12|15||||8|1|4|.444|936|220|220||243|32|54|1|48|0|0|128|109|4.46,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv
1950,CL,阪神タイガース,31333894,梶岡　忠義,H|HR|BB|HBP|SO|WP|BK,768,768,184.0,184.0,184,173,,24,173,62,24,1,62,64,1,2,64,0,82,82,73,73,3.57,3.57,1950|阪　神|29|12|9||||13|2|1|.571|768|184|184||173|24|62|1|64|2|0|82|73|3.57,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv
1950,CL,阪神タイガース,61363898,田宮　謙次郎,H|HR|BB|HBP|SO|WP|BK,96,96,23.0,23.0,23,25,,4,25,8,4,1,8,13,1,0,13,0,18,18,16,16,6.26,6.26,1950|阪　神|6|1|2||||1|1|1|.333|96|23|23||25|4|8|1|13|0|0|18|16|6.26,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv
1950,CL,阪神タイガース,81783891,藤村　隆男,H|HR|BB|HBP|SO|WP|BK,750,750,176.0,176.0,176,182,,20,182,60,20,6,60,78,6,1,78,0,97,97,77,77,3.94,3.94,1950|阪　神|36|11|8||||9|2|0|.579|750|176|176||182|20|60|6|78|1|0|97|77|3.94,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv
1950,CL,中日ドラゴンズ,81383892,久野　勝美,H|HR|BB|HBP|SO|WP|BK,42,42,8.0,8.0,8,15,,1,15,6,1,0,6,3,0,1,3,1,14,14,12,12,13.5,13.5,1950|中　日|3|0|0||||0|0|0|.000|42|8|8||15|1|6|0|3|1|1|14|12|13.50,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv
1950,CL,中日ドラゴンズ,41343896,小島　禎二,H|HR|BB|HBP|SO|BK,66,66,12.0,12.0,12,25,,1,25,7,1,0,7,5,0,0,5,0,16,16,15,15,11.25,11.25,1950|中　日|5|0|0||||0|0|0|.000|66|12|12||25|1|7|0|5|0|0|16|15|11.25,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv
1950,CL,中日ドラゴンズ,31533891,清水　秀雄,H|HR|BB|HBP|SO|WP|BK,528,528,120.0,120.0,120,138,,5,138,48,5,1,48,34,1,4,34,0,64,64,56,56,4.2,4.2,1950|中　日|22|9|5||||6|1|0|.643|528|120|120||138|5|48|1|34|4|0|64|56|4.20,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv
1950,CL,中日ドラゴンズ,31533898,竹本　卓,H|HR|SO|BK,9,9,1.0,1.0,1,3,,0,3,3,0,0,3,1,0,0,1,0,3,3,3,3,27.0,27.0,1950|中　日|1|0|0||||0|0|0|.000|9|1|1||3|0|3|0|1|0|0|3|3|27.00,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv
1950,CL,中日ドラゴンズ,91093892,星田　次郎,H|HR|BB|HBP|SO|WP|BK,413,413,95.0,95.0,95,100,,6,100,39,6,1,39,40,1,0,40,0,47,47,34,34,3.22,3.22,1950|中　日|19|6|4||||3|1|0|.600|413|95|95||100|6|39|1|40|0|0|47|34|3.22,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv
