status,year,league,player_id,player_name_ja,old_BF,new_BF,old_IP,new_IP,old_H,new_H,old_R,new_R,old_ER,new_ER,old_ERA,new_ERA,changed_cols,html_cells,csv_file
ok,1950,CL,41743801,大友　工,356,356,85.0,85.0,85,85,1,41,0,35,41.0,3.71,R|ER|ERA,1950|読　売|15|4|4||||5|0|0|.500|356|85|85||71|3|39|0|44|1|0|41|35|3.71,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv
ok,1950,CL,71373893,多田　文久三,1009,1009,244.0,244.0,244,244,2,103,0,79,103.0,2.91,R|ER|ERA,1950|読　売|40|14|9||||13|2|1|.609|1009|244|244||215|12|89|5|138|2|0|103|79|2.91,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv
ok,1950,CL,01703878,中尾　碩志,838,838,194.1,194 .1,194,194,3,105,0,84,105.0,3.88,IP|R|ER|ERA,1950|読　売|38|12|11||||8|2|1|.522|838|194 .1|194|.1|193|26|76|1|112|3|0|105|84|3.88,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv
ok,1950,CL,81783895,藤本　英雄,1442,1442,360.1,360 .1,360,360,1,117,0,98,117.0,2.44,IP|R|ER|ERA,1950|読　売|49|26|14||||33|6|8|.650|1442|360 .1|360|.1|307|25|70|2|156|1|0|117|98|2.44,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv
ok,1950,CL,31933895,別所　毅彦,1287,1287,314.0,314.0,314,314,1,114,1,89,114.0,2.55,R|ER|ERA,1950|読　売|43|22|11||||27|8|0|.667|1287|314|314||273|24|93|4|157|1|1|114|89|2.55,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv
ok,1950,CL,03203801,松田　清,65,65,13.2,13 .2,13,13,0,10,0,2,10.0,1.29,IP|R|ER|ERA,1950|読　売|3|1|1||||1|0|0|.500|65|13 .2|13|.2|15|0|9|0|5|0|0|10|2|1.29,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv
ok,1950,CL,81983896,吉江　英四郎,255,255,60.0,60.0,60,60,0,32,0,23,32.0,3.45,R|ER|ERA,1950|読　売|14|3|4||||2|0|1|.429|255|60|60||68|4|11|0|20|0|0|32|23|3.45,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv
ok,1950,CL,91193896,内山　清,936,936,220.0,220.0,220,220,0,128,0,109,128.0,4.46,R|ER|ERA,1950|阪　神|47|12|15||||8|1|4|.444|936|220|220||243|32|54|1|48|0|0|128|109|4.46,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv
ok,1950,CL,31333894,梶岡　忠義,768,768,184.0,184.0,184,184,2,82,0,73,82.0,3.57,R|ER|ERA,1950|阪　神|29|12|9||||13|2|1|.571|768|184|184||173|24|62|1|64|2|0|82|73|3.57,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv
ok,1950,CL,01303898,駒田　桂二,620,620,142.1,142 .1,142,142,1,69,0,56,69.0,3.52,IP|R|ER|ERA,1950|阪　神|32|7|6||||6|1|0|.538|620|142 .1|142|.1|136|9|67|6|43|1|0|69|56|3.52,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv
