year,league,player_id,player_name_ja,changed_cols,old,new,html,csv_file
1950,CL,83683801,渡辺　博之,H|HR|SO,4|+|0||2|0|2|0|0|4|1|----,4|+|2|0|2|0|0|0|0|4|1|----,1950|阪　神|1|0|0||||0|0|0|.000|4|+||+|2|0|2|0|0|0|0|4|1|----,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv
1950,CL,61463801,佐復　良一,H|HR|BB|SO,3|+|0||1|0|2|0|0|2|2|----,3|+|1|0|2|0|0|0|0|2|2|----,1950|国　鉄|1|0|0||||0|0|0|.000|3|+||+|1|0|2|0|0|0|0|2|2|----,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv
1950,CL,73573801,土佐内　吉治,H|HR|BB|SO,3|+|0||2|0|1|0|0|3|3|----,3|+|2|0|1|0|0|0|0|3|3|----,1950|国　鉄|1|0|0||||0|0|0|.000|3|+||+|2|0|1|0|0|0|0|3|3|----,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv
1951,CL,21523898,中津　正三,H|HR|BB|SO,5|+|0||3|0|2|0|0|4|4|----,5|+|3|0|2|0|0|0|0|4|4|----,1951|大　洋|1|0|0||||0|0|0|.000|5|+||+|3|0|2|0|0|0|0|4|4|----,_data\master_csv__rescrape_staging\pitching_1951_CL_from_master.csv
1952,CL,01303805,大辻　秀夫,H|HR|BB|SO|BK,4|+|0||1|0|2|0|0|3|2|----,4|+|1|0|2|0|0|0|1|3|2|----,1952|国　鉄|1|0|0||||0|0|0|.000|4|+||+|1|0|2|0|0|0|1|3|2|----,_data\master_csv__rescrape_staging\pitching_1952_CL_from_master.csv
1952,PL,11513805,岡本　健治,HR|BB|SO,2|+|0||0|0|2|0|0|0|0|0.0,2|+|0|0|2|0|0|0|0|0|0|0.0,1952|西　鉄|1|0|0||||0|0|0|.000|2|+||+|0|0|2|0|0|0|0|0|0|0.00,_data\master_csv__rescrape_staging\pitching_1952_PL_from_master.csv
1954,PL,41943807,白崎　泰夫,H|HR|WP,0|+|||0|0|0|0|0|0|0|0.0,0|+|0|0|0|0|0|1|0|0|0|0.0,1954|南　海|1|0|0||||0|0|0|.000|0|+||+|0|0|0|0|0|1|0|0|0|0.00,_data\master_csv__rescrape_staging\pitching_1954_PL_from_master.csv
1954,PL,41843809,藤川　哲郎,H|HR|BB|SO,5|+|0||2|0|3|0|0|5|4|----,5|+|2|0|3|0|0|0|0|5|4|----,1954|毎　日|1|0|1||||0|0|0|.000|5|+||+|2|0|3|0|0|0|0|5|4|----,_data\master_csv__rescrape_staging\pitching_1954_PL_from_master.csv
1956,PL,71073802,田中　久寿男,H|HR|SO,2|+|0||1|0|1|0|0|0|0|0.0,2|+|1|0|1|0|0|0|0|0|0|0.0,1956|西　鉄|1|0|0||||0|0|0|.000|2|+||+|1|0|1|0|0|0|0|0|0|0.00,_data\master_csv__rescrape_staging\pitching_1956_PL_from_master.csv
1957,PL,21523803,鈴木　幸雄,H|HR|BB,2|+|0||2|0|0|0|0|1|0|0.0,2|+|2|0|0|0|0|0|0|1|0|0.0,1957|阪　急|1|0|0||||0|0|0|.000|2|+||+|2|0|0|0|0|0|0|1|0|0.00,_data\master_csv__rescrape_staging\pitching_1957_PL_from_master.csv
