year,league,team,player_id,player_name_ja,changed_cols,old_BF,new_BF,old_IP,new_IP,old_H,new_H,old_HR,new_HR,old_BB,new_BB,old_HBP,new_HBP,old_SO,new_SO,old_WP,new_WP,old_BK,new_BK,old_R,new_R,old_ER,new_ER,old_ERA,new_ERA,html_cells,csv_file
1950,CL,読売ジャイアンツ,01703878,中尾　碩志,,838,838,194.1,194.1,193,193,26,26,76,76,1,1,112,112,3,3,0,0,105,105,84,84,3.88,3.88,1950|読　売|38|12|11||||8|2|1|.522|838|194 .1|194|.1|193|26|76|1|112|3|0|105|84|3.88,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv
1950,CL,読売ジャイアンツ,81783895,藤本　英雄,,1442,1442,360.1,360.1,307,307,25,25,70,70,2,2,156,156,1,1,0,0,117,117,98,98,2.44,2.44,1950|読　売|49|26|14||||33|6|8|.650|1442|360 .1|360|.1|307|25|70|2|156|1|0|117|98|2.44,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv
1950,CL,読売ジャイアンツ,03203801,松田　清,,65,65,13.2,13.2,15,15,0,0,9,9,0,0,5,5,0,0,0,0,10,10,2,2,1.29,1.29,1950|読　売|3|1|1||||1|0|0|.500|65|13 .2|13|.2|15|0|9|0|5|0|0|10|2|1.29,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv
1950,CL,阪神タイガース,01303898,駒田　桂二,,620,620,142.1,142.1,136,136,9,9,67,67,6,6,43,43,1,1,0,0,69,69,56,56,3.52,3.52,1950|阪　神|32|7|6||||6|1|0|.538|620|142 .1|142|.1|136|9|67|6|43|1|0|69|56|3.52,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv
1950,CL,阪神タイガース,21923892,野崎　泰一,,1002,1002,226.1,226.1,246,246,22,22,91,91,2,2,49,49,1,1,0,0,139,139,112,112,4.44,4.44,1950|阪　神|53|10|18||||9|1|0|.357|1002|226 .1|226|.1|246|22|91|2|49|1|0|139|112|4.44,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv
1950,CL,阪神タイガース,23123872,藤村　富美男,,4,4,0.2,0.2,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,1950|阪　神|1|0|0||||0|0|0|.000|4|0 .2|0|.2|1|0|1|0|1|0|0|0|0|0.00,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv
1950,CL,阪神タイガース,83083801,干場　一夫,,832,832,192.1,192.1,190,190,19,19,91,91,3,3,45,45,1,1,1,1,93,93,83,83,3.87,3.87,1950|阪　神|37|10|4||||10|2|0|.714|832|192 .1|192|.1|190|19|91|3|45|1|1|93|83|3.87,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv
1950,CL,阪神タイガース,53553872,御園生　崇男,,410,410,92.2,92.2,119,119,18,18,21,21,2,2,11,11,0,0,0,0,66,66,59,59,5.71,5.71,1950|阪　神|22|7|5||||4|0|0|.583|410|92 .2|92|.2|119|18|21|2|11|0|0|66|59|5.71,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv
1950,CL,中日ドラゴンズ,91993801,加藤　一昭,,23,23,3.1,3.1,9,9,3,3,6,6,0,0,0,0,0,0,0,0,7,7,7,7,15.75,15.75,1950|中　日|2|0|0||||0|0|0|.000|23|3 .1|3|.1|9|3|6|0|0|0|0|7|7|15.75,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv
1950,CL,中日ドラゴンズ,11313897,近藤　貞雄,,651,651,149.1,149.1,156,156,8,8,54,54,2,2,35,35,0,0,0,0,71,71,60,60,3.6,3.6,1950|中　日|23|10|4||||10|0|0|.714|651|149 .1|149|.1|156|8|54|2|35|0|0|71|60|3.60,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv
