target,csv_col,csv_raw,csv_norm,matched_html_header,matched_html_index,matched_html_value,year,player_id,player_name,html_header,html_row,csv_file,line
CSV_IP,IP,85.0,85,投球回,13,85,1950,41743801,大友　工,年度|所属球団|登板|勝利|敗北|セーブ|H|HP|完投|完封勝|無四球|勝率|打者|投球回|安打|本塁打|四球|死球|三振|暴投|ボーク|失点|自責点|防御率,1950|読　売|15|4|4||||5|0|0|.500|356|85|85||71|3|39|0|44|1|0|41|35|3.71,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv,2
CSV_IP,IP,85.0,85,安打,14,85,1950,41743801,大友　工,年度|所属球団|登板|勝利|敗北|セーブ|H|HP|完投|完封勝|無四球|勝率|打者|投球回|安打|本塁打|四球|死球|三振|暴投|ボーク|失点|自責点|防御率,1950|読　売|15|4|4||||5|0|0|.500|356|85|85||71|3|39|0|44|1|0|41|35|3.71,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv,2
CSV_ER,ER,0,0,完封勝,9,0,1950,41743801,大友　工,年度|所属球団|登板|勝利|敗北|セーブ|H|HP|完投|完封勝|無四球|勝率|打者|投球回|安打|本塁打|四球|死球|三振|暴投|ボーク|失点|自責点|防御率,1950|読　売|15|4|4||||5|0|0|.500|356|85|85||71|3|39|0|44|1|0|41|35|3.71,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv,2
CSV_ER,ER,0,0,無四球,10,0,1950,41743801,大友　工,年度|所属球団|登板|勝利|敗北|セーブ|H|HP|完投|完封勝|無四球|勝率|打者|投球回|安打|本塁打|四球|死球|三振|暴投|ボーク|失点|自責点|防御率,1950|読　売|15|4|4||||5|0|0|.500|356|85|85||71|3|39|0|44|1|0|41|35|3.71,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv,2
CSV_ER,ER,0,0,暴投,19,0,1950,41743801,大友　工,年度|所属球団|登板|勝利|敗北|セーブ|H|HP|完投|完封勝|無四球|勝率|打者|投球回|安打|本塁打|四球|死球|三振|暴投|ボーク|失点|自責点|防御率,1950|読　売|15|4|4||||5|0|0|.500|356|85|85||71|3|39|0|44|1|0|41|35|3.71,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv,2
CSV_ER,ER,0,0,自責点,22,0,1950,41743801,大友　工,年度|所属球団|登板|勝利|敗北|セーブ|H|HP|完投|完封勝|無四球|勝率|打者|投球回|安打|本塁打|四球|死球|三振|暴投|ボーク|失点|自責点|防御率,1950|読　売|15|4|4||||5|0|0|.500|356|85|85||71|3|39|0|44|1|0|41|35|3.71,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv,2
CSV_ER,ER,0,0,index_7,7,0,1950,41743801,大友　工,,1950|読　売|17|32|31|2|4|0|0|0|4|1|0|0|0||1|0|14|0|.129|.129|,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv,2
CSV_ER,ER,0,0,index_8,8,0,1950,41743801,大友　工,,1950|読　売|17|32|31|2|4|0|0|0|4|1|0|0|0||1|0|14|0|.129|.129|,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv,2
CSV_ER,ER,0,0,index_9,9,0,1950,41743801,大友　工,,1950|読　売|17|32|31|2|4|0|0|0|4|1|0|0|0||1|0|14|0|.129|.129|,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv,2
CSV_ER,ER,0,0,index_12,12,0,1950,41743801,大友　工,,1950|読　売|17|32|31|2|4|0|0|0|4|1|0|0|0||1|0|14|0|.129|.129|,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv,2
