player_id,name_ja,status,roman_skipped,roman_short,birth_date_raw,pro_debut_raw,career_raw,network
1003800,佐藤　重雄,ok,True,S.Satou,1931年10月22日,,甲南高 - 鹿児島鉄道局,0
1003801,茅野　健一,ok,True,K.Kayano,1917年2月25日,,浅野中 - 横浜高工 - 金港クラブ,0
1003802,田村　友美,ok,True,T.Tamura,1936年1月5日,,東京高,0
1003804,根来　広光,ok,True,H.Negoro,1936年9月24日,,広島・府中高 - 東京鉄道局,0
1003805,滝　良彦,ok,True,Y.Taki,1929年6月30日,,名古屋商 - 名古屋外国語専門学校 - 愛知トヨタ,0
1003806,平出　凱夫,ok,True,Y.Hiraide,1939年11月23日,,水戸一高,0
1003807,高倉　照幸,ok,True,T.Takakura,1934年12月8日,,熊本商,0
1003808,中島　博征,ok,True,H.Nakajima,1939年12月4日,,宮津高,0
1003809,笹原　恵通郎,ok,True,E.Sasahara,1930年4月2日,,高崎高 - 伊藤商店 - 桐生織物 - 大生相互銀行,0
1003820,菱川　章,ok,True,A.Hishikawa,1947年1月2日,,倉敷工,0
1003821,板東　里視,ok,True,S.Bandou,1942年1月1日,,鳴門高,0
1003822,R.マヒナス,ok,True,R.Mejias,1932年8月9日,,マスリタ高 - パイレーツ - コルト45s - レッドソックス,0
1003823,Ｒ．ディサ,ok,True,D.Desa,1941年2月3日,,ヒロ高 - ハワイ朝日,0
1003824,ブレイザー,ok,True,D.Blasingame,1932年3月16日,,リプスコム大 - カージナルス - ジャイアンツ - レッズ - セネタース - アスレチックス,0
1003825,鈴木　五朗,ok,True,G.Suzuki,1943年7月12日,,仙台工,0
1003826,松下　芳夫,ok,True,Y.Matsushita,1945年5月21日,1967年ドラフト5位,別府緑ヶ丘高 - 電電近畿,0
1003827,宮下　陽吾,ok,True,Y.Miyashita,1942年7月2日,,栃木商 - 日本ビール,0
1003828,三浦　正規,ok,True,M.Miura,1949年7月18日,1968年ドラフト外,気仙沼高 - 大京観光,0
1003829,永易　将之,ok,True,M.Nagayasu,1942年1月1日,,大工大高 - 電電近畿,0
