file,year,league,name,team,old_playerId,new_playerId,romanName,source,source_file
public\data\rankings\pitching\2024\PL\HLD.json,2024,PL,コルデロ,毎日オリオンズ,player-129,73775159,J.Cordero,master_year_team_name,_data\master_csv\batting_2024_PL_from_master.csv
public\data\rankings\pitching\2024\PL\HLD_all.json,2024,PL,コルデロ,毎日オリオンズ,player-129,73775159,J.Cordero,master_year_team_name,_data\master_csv\batting_2024_PL_from_master.csv
public\data\rankings\pitching\2024\PL\暴投.json,2024,PL,コルデロ,毎日オリオンズ,player-129,73775159,J.Cordero,master_year_team_name,_data\master_csv\batting_2024_PL_from_master.csv
public\data\rankings\pitching\2024\PL\暴投_all.json,2024,PL,コルデロ,毎日オリオンズ,player-129,73775159,J.Cordero,master_year_team_name,_data\master_csv\batting_2024_PL_from_master.csv
public\data\rankings\pitching\2024\PL\ＨＰ.json,2024,PL,コルデロ,毎日オリオンズ,player-129,73775159,J.Cordero,master_year_team_name,_data\master_csv\batting_2024_PL_from_master.csv
public\data\rankings\pitching\2024\PL\ＨＰ_all.json,2024,PL,コルデロ,毎日オリオンズ,player-129,73775159,J.Cordero,master_year_team_name,_data\master_csv\batting_2024_PL_from_master.csv
public\data\rankings\pitching\2021\PL\BB％_all.json,2021,PL,ロメロ,毎日オリオンズ,player-144,3505138,E.Romero,master_year_team_name,_data\master_csv\batting_2021_PL_from_master.csv
public\data\rankings\pitching\2021\PL\K-BB％_all.json,2021,PL,ロメロ,毎日オリオンズ,player-144,3505138,E.Romero,master_year_team_name,_data\master_csv\batting_2021_PL_from_master.csv
public\data\rankings\pitching\2021\PL\K％_all.json,2021,PL,ロメロ,毎日オリオンズ,player-144,3505138,E.Romero,master_year_team_name,_data\master_csv\batting_2021_PL_from_master.csv
public\data\rankings\pitching\2021\PL\WHIP_all.json,2021,PL,ロメロ,毎日オリオンズ,player-144,3505138,E.Romero,master_year_team_name,_data\master_csv\batting_2021_PL_from_master.csv
