name_norm,birth_date_raw,player_id,name_ja,pro_debut_raw,career_raw,path
"上川畑大悟","1997年1月12日","01505155","上川畑 大悟","2021年ドラフト9位","倉敷商 - 日本大 - NTT東日本","_data\derived\player_profile\merged\npb_01505155.json"
"上川畑大悟","1997年1月12日","1505155","上川畑　大悟","2021年ドラフト9位","倉敷商 - 日本大 - NTT東日本","_data\derived\player_profile\merged\npb_1505155.json"
"中村稔弥","1996年7月8日","01205138","中村 稔弥","2018年ドラフト5位","清峰高 - 亜細亜大","_data\derived\player_profile\merged\npb_01205138.json"
"中村稔弥","1996年7月8日","1205138","中村　稔弥","2018年ドラフト5位","清峰高 - 亜細亜大","_data\derived\player_profile\merged\npb_1205138.json"
"井上朋也","2003年1月28日","01305153","井上 朋也","2020年ドラフト1位","花咲徳栄高","_data\derived\player_profile\merged\npb_01305153.json"
"井上朋也","2003年1月28日","1305153","井上　朋也","2020年ドラフト1位","花咲徳栄高","_data\derived\player_profile\merged\npb_1305153.json"
"佐々木健","1996年5月13日","01005153","佐々木　健","2020年ドラフト2位","木造高 - 富士大 - NTT東日本","_data\derived\player_profile\merged\npb_01005153.json"
"佐々木健","1996年5月13日","1005153","佐々木　健","2020年ドラフト2位","木造高 - 富士大 - NTT東日本","_data\derived\player_profile\merged\npb_1005153.json"
"北村恵吾","2000年12月18日","01505157","北村 恵吾","2022年ドラフト5位","近江高 - 中央大","_data\derived\player_profile\merged\npb_01505157.json"
"北村恵吾","2000年12月18日","1505157","北村　恵吾","2022年ドラフト5位","近江高 - 中央大","_data\derived\player_profile\merged\npb_1505157.json"
"北浦竜次","2000年1月12日","01505136","北浦 竜次","2017年ドラフト5位","白鴎大足利高","_data\derived\player_profile\merged\npb_01505136.json"
"北浦竜次","2000年1月12日","1505136","北浦　竜次","2017年ドラフト5位","白鴎大足利高","_data\derived\player_profile\merged\npb_1505136.json"
"古賀優大","1998年8月7日","01705134","古賀 優大","2016年ドラフト5位","明徳義塾高","_data\derived\player_profile\merged\npb_01705134.json"
"古賀優大","1998年8月7日","1705134","古賀　優大","2016年ドラフト5位","明徳義塾高","_data\derived\player_profile\merged\npb_1705134.json"
"増田陸","2000年6月17日","01605138","増田 陸","2018年ドラフト2位","明秀学園日立高","_data\derived\player_profile\merged\npb_01605138.json"
"増田陸","2000年6月17日","1605138","増田　陸","2018年ドラフト2位","明秀学園日立高","_data\derived\player_profile\merged\npb_1605138.json"
"大島洋平","1985年11月9日","01305131","大島 洋平","2009年ドラフト5位","享栄高 - 駒沢大 - 日本生命","_data\derived\player_profile\merged\npb_01305131.json"
"大島洋平","1985年11月9日","1305131","大島　洋平","2009年ドラフト5位","享栄高 - 駒沢大 - 日本生命","_data\derived\player_profile\merged\npb_1305131.json"
"大津亮介","1999年1月13日","01305157","大津 亮介","2022年ドラフト2位","九州産大九州高 - 帝京大 - 日本製鉄鹿島","_data\derived\player_profile\merged\npb_01305157.json"
"大津亮介","1999年1月13日","1305157","大津　亮介","2022年ドラフト2位","九州産大九州高 - 帝京大 - 日本製鉄鹿島","_data\derived\player_profile\merged\npb_1305157.json"
"大貫晋一","1994年2月3日","01305138","大貫 晋一","2018年ドラフト3位","桐陽高 - 日本体育大 - 新日鉄住金鹿島","_data\derived\player_profile\merged\npb_01305138.json"
