npb_player_id,name_ja,team,position,is_new_2026,debut_year,cause,detail
2103847,大竹 風雅,福岡ソフトバンクホークス,投手,1,,likely_no_ichi_gun_new_2026,debut=None is_new_2026=1
2112130,藤原 大翔,福岡ソフトバンクホークス,投手,1,,likely_no_ichi_gun_new_2026,debut=None is_new_2026=1
31235150,嶋村 麟士朗,阪神タイガース,捕手,1,2024,likely_no_ichi_gun_new_2026,debut=2024 is_new_2026=1
61965159,下村 海翔,阪神タイガース,投手,0,2023,likely_no_ichi_gun_long_term_dev,debut=2023 is_new_2026=0
31935150,今朝丸 裕喜,阪神タイガース,投手,0,2024,name_team_match_id_empty_or_mismatch,master_ids={'(empty)'} years=[2025] kinds=['batting']
73975152,Ｅ．ルーカス,阪神タイガース,投手,0,,likely_no_ichi_gun_no_debut_parsed,debut=None is_new_2026=0
31635152,早瀬 朔,阪神タイガース,投手,0,2025,likely_no_ichi_gun_2025_draft,debut=2025 is_new_2026=0
63765152,Ｃ．ラグズデール,阪神タイガース,投手,0,,likely_no_ichi_gun_no_debut_parsed,debut=None is_new_2026=0
17915159,能登 嵩都,阪神タイガース,投手,0,2025,likely_no_ichi_gun_2025_draft,debut=2025 is_new_2026=0
11415159,津田 淳哉,阪神タイガース,投手,0,2023,likely_no_ichi_gun_long_term_dev,debut=2023 is_new_2026=0
03705152,Ｄ．モレッタ,阪神タイガース,投手,0,,likely_no_ichi_gun_no_debut_parsed,debut=None is_new_2026=0
01305159,宇都宮 葵星,読売ジャイアンツ,内野手,1,2023,likely_no_ichi_gun_new_2026,debut=2023 is_new_2026=1
11815159,福島 圭音,阪神タイガース,外野手,1,2023,likely_no_ichi_gun_new_2026,debut=2023 is_new_2026=1
41645159,平山 功太,読売ジャイアンツ,内野手,1,2023,likely_no_ichi_gun_new_2026,debut=2023 is_new_2026=1
41845150,町田 隼乙,阪神タイガース,捕手,0,2024,name_team_match_id_empty_or_mismatch,master_ids={'(empty)'} years=[2025] kinds=['batting']
91695151,藤田 健斗,阪神タイガース,捕手,0,2019,likely_no_ichi_gun_long_term_dev,debut=2019 is_new_2026=0
91295152,立石 正広,阪神タイガース,内野手,0,2025,likely_no_ichi_gun_2025_draft,debut=2025 is_new_2026=0
83585152,Ｃ．ディベイニー,阪神タイガース,内野手,0,,likely_no_ichi_gun_no_debut_parsed,debut=None is_new_2026=0
01205152,谷端 将伍,阪神タイガース,内野手,0,2025,likely_no_ichi_gun_2025_draft,debut=2025 is_new_2026=0
91095150,佐野 大陽,阪神タイガース,内野手,0,2024,name_team_match_id_empty_or_mismatch,master_ids={'(empty)'} years=[2025] kinds=['batting']
63365159,山田 脩也,阪神タイガース,内野手,0,2023,likely_no_ichi_gun_long_term_dev,debut=2023 is_new_2026=0
23325159,百﨑 蒼生,阪神タイガース,内野手,0,2023,likely_no_ichi_gun_long_term_dev,debut=2023 is_new_2026=0
91595152,岡城 快生,阪神タイガース,外野手,0,2025,likely_no_ichi_gun_2025_draft,debut=2025 is_new_2026=0
71275152,竹丸 和幸,読売ジャイアンツ,投手,0,2025,likely_no_ichi_gun_2025_draft,debut=2025 is_new_2026=0
53355152,Ｆ．ウィットリー,読売ジャイアンツ,投手,0,,likely_no_ichi_gun_no_debut_parsed,debut=None is_new_2026=0
21225152,田和 廉,読売ジャイアンツ,投手,0,2025,likely_no_ichi_gun_2025_draft,debut=2025 is_new_2026=0
43145152,山城 京平,読売ジャイアンツ,投手,0,2025,likely_no_ichi_gun_2025_draft,debut=2025 is_new_2026=0
53755152,Ｂ．マタ,読売ジャイアンツ,投手,0,,likely_no_ichi_gun_no_debut_parsed,debut=None is_new_2026=0
61165150,石塚 裕惺,読売ジャイアンツ,内野手,0,2024,name_team_match_id_empty_or_mismatch,master_ids={'(empty)'} years=[2025] kinds=['batting']
63565152,Ｂ．ダルベック,読売ジャイアンツ,内野手,0,,likely_no_ichi_gun_no_debut_parsed,debut=None is_new_2026=0
81385150,浦田 俊輔,読売ジャイアンツ,内野手,0,2024,name_team_match_id_empty_or_mismatch,master_ids={'(empty)'} years=[2025] kinds=['batting']
61765152,小濱 佑斗,読売ジャイアンツ,内野手,0,2025,likely_no_ichi_gun_2025_draft,debut=2025 is_new_2026=0
71175150,荒巻 悠,読売ジャイアンツ,内野手,0,2024,name_team_match_id_empty_or_mismatch,master_ids={'(empty)'} years=[2025] kinds=['batting']
21625152,藤井 健翔,読売ジャイアンツ,内野手,0,2025,likely_no_ichi_gun_2025_draft,debut=2025 is_new_2026=0
73575150,Ｔ．キャベッジ,読売ジャイアンツ,外野手,0,,likely_no_ichi_gun_no_debut_parsed,debut=None is_new_2026=0
33135152,皆川 岳飛,読売ジャイアンツ,外野手,0,2025,likely_no_ichi_gun_2025_draft,debut=2025 is_new_2026=0
23125152,山崎 太陽,東京ヤクルトスワローズ,投手,0,2025,likely_no_ichi_gun_2025_draft,debut=2025 is_new_2026=0
01805152,増居 翔太,東京ヤクルトスワローズ,投手,0,2025,likely_no_ichi_gun_2025_draft,debut=2025 is_new_2026=0
61065152,鈴木 蓮吾,東京ヤクルトスワローズ,投手,0,2025,likely_no_ichi_gun_2025_draft,debut=2025 is_new_2026=0
01105152,飯田 琉斗,東京ヤクルトスワローズ,投手,0,2025,likely_no_ichi_gun_2025_draft,debut=2025 is_new_2026=0
13915152,Ｊ．リランソ,東京ヤクルトスワローズ,投手,0,,likely_no_ichi_gun_no_debut_parsed,debut=None is_new_2026=0
43145150,矢野 泰二郎,東京ヤクルトスワローズ,捕手,0,2024,name_team_match_id_empty_or_mismatch,master_ids={'(empty)'} years=[2025] kinds=['batting']
61865152,松下 歩叶,東京ヤクルトスワローズ,内野手,0,2025,likely_no_ichi_gun_2025_draft,debut=2025 is_new_2026=0
41145152,石井 巧,東京ヤクルトスワローズ,内野手,0,2025,likely_no_ichi_gun_2025_draft,debut=2025 is_new_2026=0
