status,player_id,name_ja,team,years,method
not_found,,アコスタ,読売ジャイアンツ,2013,
not_found,,アダメス,読売ジャイアンツ,"2018,2019",
not_found,,アッチソン,阪神タイガース,"2008,2009",
resolved,31135134,アドゥワ 誠,広島東洋カープ,"2018,2019,2023,2024",yearly_roster:2018
not_found,,アビラ,東京ヤクルトスワローズ,2025,
not_found,,アブレイユ,千葉ロッテマリーンズ,2008,
not_found,,アブレイユ,埼玉西武ライオンズ,2024,
not_found,,アラウホ,中日ドラゴンズ,2017,
not_found,,アルカンタラ,阪神タイガース,"2021,2022",
not_found,,アルバラデホ,読売ジャイアンツ,2011,
not_found,,アルバース,オリックス・バファローズ,"2018,2019,2020",
resolved,63365139,アンソニー・カーター,北海道日本ハムファイターズ,2014,yearly_roster:2014
not_found,,アンダーソン,広島東洋カープ,"2022,2023",
not_found,,アンドリース,読売ジャイアンツ,2022,
not_found,,アーリン,北海道日本ハムファイターズ,2021,
not_found,,イノーア,東京ヤクルトスワローズ,2020,
resolved,13315112,インチェ,東北楽天ゴールデンイーグルス,"2006,2007,2008",yearly_roster:2006
resolved,93195130,イ・デウン,千葉ロッテマリーンズ,"2015,2016",yearly_roster:2015
not_found,,ウィック,横浜DeNAベイスターズ,2024,
not_found,,ウィリアムス,埼玉西武ライオンズ,"2012,2013,2014",
